smiles,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
CC(C)(c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1,-0.0067218225,0.004073284,-0.0009410046,0.0013544781,-0.007378463,0.0065614493,0.0042865956,-0.0071104225,-0.0005325172,0.0019758772,-0.014308041,-0.00037426222,-0.005551912,0.0046011945,-0.0032669688,-0.006032762
Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,-0.0037567534,0.0028591682,-0.0006738603,0.0013658046,-0.006645447,0.0046794256,0.0043530026,-0.00878326,-3.5872683e-05,0.0028575119,-0.013811612,0.00039729243,-0.0073280567,0.006170923,-0.0012314077,-0.0034349635
N#Cc1ccc(Oc2ccc(-c3ccccc3)cc2)c(C#N)c1,-0.0047524795,0.00420714,0.00036431476,0.0049910042,-0.006902141,0.004163558,0.006506319,-0.008321196,-0.0012477115,0.0009292122,-0.014328195,0.00019415887,-0.0065629864,0.0043960437,-0.0022902004,-0.004618479
CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccccc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)cc2C#N)cc1,-0.0041065067,0.004607912,-0.0017483626,0.0015948585,-0.008819536,0.0060173,0.005615822,-0.0076162694,0.0012726616,0.0028240494,-0.014463135,-0.0009908108,-0.0054727625,0.006209716,-0.0020889817,-0.005224405
CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C#N)cc6C#N)cc5)cc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1,-0.0065051178,0.006965614,-0.0039935037,0.004092653,-0.004531361,0.005326004,0.0050950125,-0.007596353,0.0012221076,0.0037040934,-0.011578469,-0.0003797589,-0.002214143,0.009011747,-0.0020234557,-0.0052207047
C=CC(=O)OCCCOc1ccc(C(=O)Oc2ccc(C)c(OC(=O)c3ccc(OCCCOC(=O)C=C)cc3)c2)cc1,-0.0029156168,0.0023847003,0.00028095767,0.0055626617,-0.0073868576,0.0054950137,0.005802919,-0.007870053,-0.00076418,0.00072915107,-0.016151838,-0.0009867023,-0.00584366,0.0045327684,-0.0034512104,-0.004078472
O=C(CCS)OCCC(COC(=O)CCS)(COC(=O)CCS)OC(=O)CCS,0.0010654484,0.003023183,-8.206256e-05,0.0027433606,-0.0071895905,0.004379919,0.0047319373,-0.007379026,-0.0013813004,-0.0006391313,-0.0137479985,0.0011628866,-0.0046767555,0.0043788226,6.750226e-06,-0.0056287926
CC(C)(O)C(=O)c1ccc(OCCO)cc1,-0.0025765628,0.00063228887,-8.184463e-06,0.0042483653,-0.0072030844,0.0034249774,0.0052976767,-0.008587031,-0.000375418,7.1484596e-05,-0.015476415,0.002209634,-0.008154315,0.0052129086,-0.0027899155,-0.0056476193
C1CCOC1,-0.0009601994,0.0010430617,7.167272e-05,0.0041122986,-0.007618086,0.0031245647,0.0061621917,-0.009374741,-0.0026788134,-0.0014330056,-0.014030219,0.0018130341,-0.0062298076,0.005805608,-0.0013417462,-0.0058960086
CCN(CC)CC,-0.0006226322,0.00063197874,-0.00038916804,0.0042452035,-0.0075914836,0.003640866,0.0058764378,-0.008777279,-0.002559444,-0.0008922536,-0.014197762,0.002393932,-0.0062828837,0.0059267785,-0.0016736528,-0.006542855
Oc1ccc(Oc2ccc(O)cc2)cc1,-0.003401845,0.0012434488,-0.0009388458,0.0037878614,-0.006622182,0.0032586106,0.0068472223,-0.008949656,-0.0016118791,4.63482e-05,-0.014273244,0.0011992902,-0.0065840986,0.0053046523,-0.002854419,-0.004084468
C=O,-0.0012391929,0.00056773145,-0.0004383009,0.0038361982,-0.0075867595,0.0031522522,0.0059541324,-0.008809278,-0.0030423533,-0.001660876,-0.014167563,0.0021260637,-0.0052766744,0.006349059,-0.0014339378,-0.0052393675
OB(O)O,-0.0011578111,0.0004335735,-7.482804e-05,0.0038522426,-0.0071895127,0.0030192551,0.00535326,-0.008867388,-0.003010733,-0.0010708924,-0.014812289,0.0019229851,-0.005407652,0.006008867,-0.001995881,-0.0055562807
O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,-0.002237771,0.0028755544,-0.0013894197,0.0025253128,-0.005493156,0.0039163274,0.0058826124,-0.0091893915,0.0013997816,0.00079787336,-0.016537812,-5.6810677e-08,-0.0064923856,0.0059798155,-0.0025284057,-0.0034700725
Nc1ccccc1,-0.00084219617,0.0014487794,-0.0005205162,0.0040440094,-0.0071537527,0.002503735,0.006992912,-0.009152271,-0.0037655793,-0.0012136083,-0.013042465,0.0007779142,-0.0057001617,0.0057325084,-0.0010885177,-0.00510648
