target_tg_c,best_predicted_tg_c,best_target_distance_c,best_reward,top_k,within_1c,within_5c,within_10c
190.0,189.99906256230452,0.0009374376954838226,0.9998125300355936,25,1088,5285,10499
195.0,194.9997708359369,0.00022916406308581827,0.9999541682376901,25,1059,5163,10480
200.0,199.9969786843677,0.0030213156323100065,0.9993959194037337,25,1085,5195,10408
250.0,250.00012894453133,0.00012894453132616945,0.9999742114262657,25,992,4652,9149
