source_candidate_tg,replace_side,original_smiles,replacement_smiles,replacement_source,replacement_label,replacement_template_family,replacement_template_intended_group,shared_groups,counterpart_groups,counterpart_compatibility_reason,feedback_constraint,tanimoto,latent_distance,latent_cosine_similarity,latent_rank,latent_search_space_rows,latent_compatible_rows,matched_groups,latent_size,vae_checkpoint
195.005365464446,a,C=CC(=O)OCCOCCOc1ccccc1,CC(N)COCC(C)COCC(C)CN,library,library_19,,,aromatic;ester;ether;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺-胺 Michael 加成。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.0625,0.03792218491435051,0.9994529485702515,4,656,325,ether,512,artifacts/reproduce/vae/finetuned_latent_512.pt
195.005365464446,a,C=CC(=O)OCCOCCOc1ccccc1,C=C(C)C(=O)OC(C)(C)C,library,library_163,,,aromatic;ester;ether;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.11363636363636363,0.040420956909656525,0.9993791580200195,5,656,325,ester;ether;vinyl,512,artifacts/reproduce/vae/finetuned_latent_512.pt
195.005365464446,b,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,CC(C)(c1ccc(N2C(=O)C=CC2=O)cc1)c1ccc(N2C(=O)C=CC2=O)cc1,literature_template,template_bismaleimide_bpa_core,maleimide,maleimide,aromatic;imide;maleimide;vinyl,aromatic;ester;ether;vinyl,马来酰亚胺与烯基共聚/加成。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.42857142857142855,0.0638611912727356,0.9672974348068237,1,598,55,aromatic;imide;maleimide;vinyl,512,artifacts/reproduce/vae/finetuned_latent_512.pt
195.005365464446,b,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,O=C(O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)C1CCc2cc(O)ccc21,chembl,chembl_scan_174,,,aromatic;imide;maleimide;vinyl,aromatic;ester;ether;vinyl,硫醇-烯点击反应。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.07407407407407407,0.07324685901403427,0.954014241695404,2,598,55,aromatic,512,artifacts/reproduce/vae/finetuned_latent_512.pt
195.005365464446,b,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,O=C1C=CC(=O)N1c1ccc(C(F)(F)c2ccc(N3C(=O)C=CC3=O)cc2)cc1,literature_template,template_bismaleimide_fluoro_core,maleimide,maleimide,aromatic;imide;maleimide;vinyl,aromatic;ester;ether;vinyl,马来酰亚胺与烯基共聚/加成。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.4411764705882353,0.08819673955440521,0.9334923624992371,3,598,55,aromatic;imide;maleimide;vinyl,512,artifacts/reproduce/vae/finetuned_latent_512.pt
195.005365464446,b,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,C=C1C(=O)O[C@H]2/C=C(\C)CC/C=C(\C)C[C@H](O)[C@@H]12,chembl,chembl_scan_335,,,aromatic;imide;maleimide;vinyl,aromatic;ester;ether;vinyl,自由基共聚。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.06557377049180328,0.10780908167362213,0.9366746544837952,4,598,55,vinyl,512,artifacts/reproduce/vae/finetuned_latent_512.pt
195.005365464446,b,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,O=C1C=CC(=O)N1c1ccc(S(=O)(=O)c2ccc(N3C(=O)C=CC3=O)cc2)cc1,literature_template,template_bismaleimide_sulfone_bisphenyl,maleimide,maleimide,aromatic;imide;maleimide;vinyl,aromatic;ester;ether;vinyl,马来酰亚胺与烯基共聚/加成。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.4411764705882353,0.14605486392974854,0.8877326250076294,5,598,55,aromatic;imide;maleimide;vinyl,512,artifacts/reproduce/vae/finetuned_latent_512.pt
194.99270136027468,a,CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,library,library_115,,,aromatic;epoxy;ether,aromatic;ether;primary_amine,环氧-伯胺开环固化。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.2830188679245283,0.03703688457608223,0.9921296834945679,1,641,105,aromatic;epoxy;ether,512,artifacts/reproduce/vae/finetuned_latent_512.pt
194.99270136027468,a,CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,c1ccc(C(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)cc1,generated,generated_diepoxy_bpf,,,aromatic;epoxy;ether,aromatic;ether;primary_amine,环氧-伯胺开环固化。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.4,0.07426008582115173,0.9679935574531555,2,641,105,aromatic;epoxy;ether,512,artifacts/reproduce/vae/finetuned_latent_512.pt
194.99270136027468,a,CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccc(O)cc21,chembl,chembl_scan_291,,,aromatic;epoxy;ether,aromatic;ether;primary_amine,马来酰亚胺-胺 Michael 加成。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.06756756756756757,0.07546138763427734,0.9701626300811768,3,641,105,aromatic,512,artifacts/reproduce/vae/finetuned_latent_512.pt
194.99270136027468,a,CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,generated,generated_dianhydride_btda,,,aromatic;epoxy;ether,aromatic;ether;primary_amine,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.07692307692307693,0.07896445691585541,0.9650304913520813,4,641,105,aromatic;ether,512,artifacts/reproduce/vae/finetuned_latent_512.pt
194.99270136027468,a,CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,O=C1C=CC(=O)N1c1ccc(Oc2ccc(N3C(=O)C=CC3=O)cc2)cc1,generated,generated_bismaleimide_oda,,,aromatic;epoxy;ether,aromatic;ether;primary_amine,马来酰亚胺-胺 Michael 加成。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.125,0.08203919231891632,0.9813117384910583,5,641,105,aromatic;ether,512,artifacts/reproduce/vae/finetuned_latent_512.pt
194.99270136027468,b,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,O=C1CC(c2ccc(-c3ccccc3)cc2)c2c(ccc3ccccc23)N1,chembl,chembl_scan_57,,,aromatic;ether;primary_amine,aromatic;epoxy;ether,环氧-仲胺开环固化。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.125,0.028826620429754257,0.9974880814552307,1,672,447,aromatic,512,artifacts/reproduce/vae/finetuned_latent_512.pt
194.99270136027468,b,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,COc1cc(Nc2ccnc3cc(-c4ccncc4)ccc23)cc(OC)c1OC,chembl,chembl_scan_364,,,aromatic;ether;primary_amine,aromatic;epoxy;ether,环氧-仲胺开环固化。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.1346153846153846,0.04716785252094269,0.9950432777404785,2,672,447,aromatic;ether,512,artifacts/reproduce/vae/finetuned_latent_512.pt
194.99270136027468,b,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,CCNC(=O)Nc1nc2cc(-c3cccnc3)cc(-c3cnn(C)c3)n2n1,chembl,chembl_scan_140,,,aromatic;ether;primary_amine,aromatic;epoxy;ether,环氧-仲胺开环固化。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.058823529411764705,0.05336408317089081,0.9964058995246887,3,672,447,aromatic,512,artifacts/reproduce/vae/finetuned_latent_512.pt
194.99270136027468,b,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1,library,library_151,,,aromatic;ether;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.32,0.06779678910970688,0.9969097375869751,4,672,447,aromatic;primary_amine,512,artifacts/reproduce/vae/finetuned_latent_512.pt
194.99270136027468,b,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,Oc1ccc(/N=C(/Cc2ccc(Cl)cc2)c2ccc(O)c(O)c2O)cc1,chembl,chembl_scan_19,,,aromatic;ether;primary_amine,aromatic;epoxy;ether,环氧-羟基醚化，常需催化剂。,vae_latent_neighborhood_preserve_complementary_reactive_pair,0.0625,0.07575271278619766,0.9965035319328308,5,672,447,aromatic,512,artifacts/reproduce/vae/finetuned_latent_512.pt
