ML method,latent_size,model_family,predictor_kind,model_path,PCP training dataset (%),PCP test dataset (%),MAPE training dataset (%),MAPE test dataset (%),MAPEK training dataset (%),MAPEK test dataset (%),MAE training dataset (C),MAE test dataset (C),RMSE training dataset (C),RMSE test dataset (C),R2 training,R2 test
VAE (512) + LinearSVR,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_linearsvr_latent_512.joblib,58.42105263157895,48.529411764705884,25.519848329968024,207.33840375262776,4.063303913170913,6.7415388003658885,15.148865085090236,28.888945115789163,19.073361658094758,46.280890636069145,0.9446953673723602,0.7685940032116325
VAE (512) + KernelRidge_RBF_a1_gscale,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_kernelridge_rbf_a1_gscale_latent_512.joblib,23.157894736842106,13.23529411764706,61.23089158545636,368.6224548072631,9.680699514489676,12.422446125822475,38.42749083983271,52.04784568881287,48.8623976302106,67.8081388592564,0.6370418071746826,0.5032535195350647
VAE (512) + KernelRidge_RBF_a0.1_g0.01,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_kernelridge_rbf_a0.1_g0.01_latent_512.joblib,34.73684210526316,27.941176470588236,40.32006442710521,333.16447910792004,6.874319824200023,8.565210585359456,27.492623462645632,36.11136269832359,35.419649472025135,53.119108258866184,0.809280276298523,0.6951594352722168
VAE (512) + KernelRidge_linear,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_kernelridge_linear_latent_512.joblib,42.368421052631575,32.35294117647059,38.13513590243281,296.7257966978141,6.051658705311376,8.083146796302529,23.944270882481025,34.19399410398567,30.85699956154802,50.35042975943388,0.8552513718605042,0.7261091470718384
VAE (512) + KernelRidge_poly2,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_kernelridge_poly2_latent_512.joblib,23.157894736842106,17.647058823529413,60.06437147975997,372.0464631141633,9.481509966870824,12.070498282644774,37.54231609309974,50.36432826080743,47.632094074162694,66.12609213242425,0.6550895571708679,0.5275923013687134
VAE (512) + KNN_3_uniform,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_knn_3_uniform_latent_512.joblib,72.63157894736842,54.41176470588235,20.278263306171414,71.58768537300564,3.0182615265963952,5.299535819221216,11.940548954511943,23.82484032388996,19.83737653183786,47.88364870374339,0.9401760101318359,0.7522887587547302
VAE (512) + KNN_5_distance,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_knn_5_distance_latent_512.joblib,100.0,51.470588235294116,0.00020312123355004127,160.73577487488342,3.830357018577938e-05,5.6090821187626645,0.0001495053414922486,25.015027299951036,0.00022402290972336003,47.399262306399116,0.9999999999923705,0.7572750844789331
VAE (512) + KNN_9_distance,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_knn_9_distance_latent_512.joblib,100.0,55.88235294117647,0.0003643639232980223,298.2514568415429,6.374510545898277e-05,6.509044743617554,0.0002479047212800748,28.36819869679396,0.0003373307806491434,50.582107901835236,0.9999999999827011,0.7235828144503742
VAE (512) + DecisionTree_depth_6,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_decisiontree_depth_6_latent_512.joblib,69.21052631578948,45.588235294117645,16.160133123014873,92.81931294462895,3.225513902607366,7.174963640857608,12.190228747795551,30.582924229709164,19.524809881171446,46.306173465918945,0.9420463689219898,0.7683411041672552
VAE (512) + RandomForest_paper,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_randomforest_paper_latent_512.joblib,85.26315789473684,60.29411764705882,13.966926187327571,256.7650220290701,1.8416075073608615,5.405323988032711,7.1306595592951325,23.614729476128876,10.687203644658464,40.80827754620285,0.9826365830440658,0.8200848555349155
VAE (512) + RandomForest_large,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_randomforest_large_latent_512.joblib,83.94736842105263,58.82352941176471,12.816100962905667,228.10301506664484,1.7597131547782592,5.389343391687739,6.8469522195556305,23.746577448375586,10.281074104476689,41.46633979899724,0.9839311793532055,0.8142355535387097
VAE (512) + ExtraTrees_300,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_extratrees_300_latent_512.joblib,100.0,67.64705882352942,3.5037650681521446e-06,100.60597944236017,9.457556102163987e-07,4.597351366563323,4.063518525266933e-06,20.60327694602264,6.142868983933008e-06,41.00181430483873,0.9999999999999942,0.8183742828341323
VAE (512) + ExtraTrees_600,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_extratrees_600_latent_512.joblib,100.0,66.17647058823529,3.5037650681521446e-06,100.0508584947612,9.457556102163987e-07,4.643616271990504,4.063518525266933e-06,20.8469779160491,6.142868983933008e-06,41.34715267247539,0.9999999999999942,0.8153019081302224
VAE (512) + GradientBoosting_squared,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_gradientboosting_squared_latent_512.joblib,94.21052631578948,57.35294117647059,4.719948198024383,130.73193188239912,0.828520139343054,4.6513465017177005,3.1476047659115975,20.622871523021846,4.045768469194759,37.24437371283757,0.9975116636997446,0.8501376478191778
VAE (512) + GradientBoosting_huber,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_gradientboosting_huber_latent_512.joblib,92.89473684210526,60.29411764705882,4.753964799007035,90.10784837351898,0.897009329600584,4.790372722662861,3.471338852595121,21.03249008483255,5.823556357986212,39.329522737434466,0.9948443480646978,0.832887650208856
VAE (512) + HistGradientBoosting,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_histgradientboosting_latent_512.joblib,98.68421052631578,60.29411764705882,1.6435035157606224,110.62833556112098,0.31667585581520125,4.732321636339513,1.343881610718429,21.403908765415913,3.6861110712157767,40.1781172366062,0.9979344112519474,0.825598443469214
VAE (512) + AdaBoost_depth_4,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_adaboost_depth_4_latent_512.joblib,60.78947368421053,44.11764705882353,27.89779684810845,268.32310867120407,3.7950401441772676,6.684210191693627,14.195047472703864,28.626998502326973,17.94781031423579,46.71434860433783,0.9510300155324112,0.7642390960572116
VAE (512) + BaggingTrees,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_baggingtrees_latent_512.joblib,79.73684210526316,57.35294117647059,15.300818263202407,231.7278438990204,2.1539280221154216,5.586701365362848,8.25161102421273,24.397568017058912,11.528755191483564,42.18899660429354,0.9797943949947376,0.8077042940290269
VAE (512) + MLP_64,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_mlp_64_latent_512.joblib,26.842105263157894,23.52941176470588,59.29086404484273,269.13707066895296,9.361816188152803,11.689434765649773,37.162010760840616,48.17488630641909,47.59895347923228,64.14901444504216,0.6555693745613098,0.5554187297821045
VAE (512) + MLP_128_64,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_mlp_128_64_latent_512.joblib,23.42105263157895,17.647058823529413,51.001315636051594,351.87617394859217,8.906840178384149,11.179013081751101,35.58998815511402,47.0539668333881,45.220639954383856,63.13206968320178,0.6891288757324219,0.5694027543067932
VAE (512) + MLP_256_128_64,512,model_zoo,joblib,artifacts/reproduce/predictors/latent_512/zoo_mlp_256_128_64_latent_512.joblib,20.0,20.588235294117645,67.62894430549547,455.63930940624584,9.983359073609504,11.707200460876882,38.58149239640487,47.07688877424773,45.5575120078754,60.18548069923911,0.6844799518585205,0.6086596250534058
