target_tg_c,replacement_input_proposals,replacement_harness_pass,replacement_best_distance_c,replacement_within_5c,replacement_observations,pievo_output_dir,pievo_rounds,pievo_history_rows,pievo_external_rows,pievo_external_mean_reward,pievo_posterior_entropy,pievo_map_principle,pievo_map_principle_posterior,pievo_all_selected_within_guard,pievo_all_selected_pass,best_selected_predicted_tg_mean_c,best_selected_target_distance_c,best_selected_reward
190.0,120,13,0.994115,13,13,artifacts/pievo_faithful_feedback_replacement_target_sweep/target_190,6,19,13,0.5398062288199927,3.284225785311335,reaction_a5dd26ae10ad,0.0931223126127724,True,True,190.05709511188687,0.0570951118868663,0.9886459272033438
195.0,120,11,0.373243,11,11,artifacts/pievo_faithful_feedback_replacement_target_sweep/target_195,6,17,11,0.7185098623461168,1.304661169614019,long_aliphatic_penalty,0.7698644781918025,True,True,194.99445369764717,0.0055463023528545,0.9988913545314048
200.0,120,11,0.444883,11,11,artifacts/pievo_faithful_feedback_replacement_target_sweep/target_200,6,17,11,0.6782616226556897,2.8777742408867395,too_flexible_penalty,0.2567794736800789,True,True,199.79555056345671,0.2044494365432854,0.9599348251356108
250.0,120,4,0.489437,4,4,artifacts/pievo_faithful_feedback_replacement_target_sweep/target_250,6,10,4,0.7104132517231533,3.5522620534448346,heavy_halogen_practical_risk,0.03726091785913266,True,True,249.90122671774716,0.0987732822528641,0.9804391882315944
