smiles,groups,invalid
CC(N)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COCC(C)(COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,ether;primary_amine,False
CC(N)COCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)N,ether;primary_amine,False
CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,ether;primary_amine,False
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN,ether;primary_amine,False
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)N,ether;primary_amine,False
CC(C)(C1CCC(OCC2CO2)CC1)C1CCC(OCC2CO2)CC1,epoxy;ether,False
O=C1CCCC(=O)O1,anhydride;ester;ether,False
c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,aromatic;epoxy;ether,False
CC(C)(c1ccc(OCC(O)CN=[N+]=[N-])cc1)c1ccc(OCC(O)CN=[N+]=[N-])cc1,aromatic;ether;hydroxyl,False
C#CCOc1ccc(Cc2ccc(O)cc2OCC#C)cc1,aromatic;ether;hydroxyl;phenol,False
CCCCCCCCCCCCN,primary_amine,False
NCc1cccc(CN)c1,aromatic;primary_amine,False
Nc1ccc(Cc2ccc(N)cc2)cc1,aromatic;primary_amine,False
Nc1cccc(N)c1,aromatic;primary_amine,False
CC(C)(c1ccc2c(c1)CN(c1ccccc1)CCO2)c1ccc2c(c1)CN(c1ccccc1)CCO2,aromatic;ether,False
c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1,aromatic;epoxy;ether,False
O=C(O)CC(O)(CC(=O)O)C(=O)O,carboxylic_acid;hydroxyl,False
O=C(O)CCCCCCCCC(=O)O,carboxylic_acid;hydroxyl,False
Cn1ccnc1,aromatic,False
O=C(O)CCCC(=O)O,carboxylic_acid;hydroxyl,False
C1OC1COC1COC2C(OCC3CO3)COC12,epoxy;ether,False
Nc1ccc(SSc2ccc(N)cc2)cc1,aromatic;primary_amine,False
CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,aromatic;epoxy;ether,False
O=C1OC(=O)C2CCCCC12,anhydride;ester;ether,False
