smiles_a,smiles_b,groups_a,groups_b,compatibility_reason,ratio_a,ratio_b,predicted_tg,target_distance,in_target_range
COc1cc(CC2CO2)ccc1Oc1nc(Oc2ccc(CC3CO3)cc2OC)nc(Oc2ccc(CC3CO3)cc2OC)n1,Nc1ccc(C(F)(F)F)c(-c2ccc(N)cc2C(F)(F)F)c1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.65,0.35,195.05440147204638,0.05440147204637924,True
CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,aromatic;epoxy;ether,anhydride;aromatic;ester;ether,环氧-酸酐固化，常需催化剂。,0.7,0.30000000000000004,195.05442759522305,0.05442759522304641,True
NCc1cccc(CN)c1,O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,aromatic;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.45,0.55,194.94551988801533,0.05448011198467384,True
Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,aromatic;ether;primary_amine,anhydride;aromatic;ester;ether,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,0.5,0.5,194.94471725094255,0.05528274905745434,True
O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,aromatic;epoxy;ether,aromatic;carboxylic_acid;hydroxyl,环氧-羧酸开环酯化。,0.7,0.30000000000000004,195.05549935201284,0.05549935201284484,True
O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,anhydride;aromatic;ester;ether,aromatic;primary_amine,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,0.65,0.35,195.05668386501455,0.056683865014548473,True
COc1cc(CO)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,Nc1ccc(-c2ccc(N)c(N)c2)c(N)c1,aromatic;epoxy;ether;hydroxyl,aromatic;primary_amine,环氧-伯胺开环固化。,0.5,0.5,195.06010201147032,0.06010201147032035,True
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,Nc1cc(N)cc(N)c1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.95,0.050000000000000044,195.06061932598905,0.06061932598905173,True
C=CCOCC(CC)(CO)CO,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,ether;hydroxyl;vinyl,anhydride;aromatic;ester;ether,酸酐-羟基酯化。,0.2,0.8,194.93666941795487,0.06333058204512554,True
c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1,Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,aromatic;epoxy;ether,aromatic;ether;primary_amine,环氧-伯胺开环固化。,0.6,0.4,195.06479960974642,0.06479960974641585,True
Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,NCCNCCNCCN,aromatic;epoxy;ether,primary_amine;secondary_amine,环氧-伯胺开环固化。,0.4,0.6,194.92990425795884,0.0700957420411612,True
CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,aromatic;ether;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-胺共反应。,0.8,0.19999999999999996,194.92969773309807,0.07030226690193331,True
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,CC1CCC2C(=O)OC(=O)C2C1,aromatic;epoxy;ether;vinyl,anhydride;ester;ether,环氧-酸酐固化，常需催化剂。,0.15,0.85,194.9294485032177,0.07055149678228645,True
O=C(O)CC(O)(CC(=O)O)C(=O)O,O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,carboxylic_acid;hydroxyl,aromatic;epoxy;ether,环氧-羧酸开环酯化。,0.15,0.85,195.07161748110673,0.07161748110672761,True
COc1cc(CC2CO2)ccc1OC(=O)c1ccc(C(=O)Oc2ccc(CC3CO3)cc2OC)cc1,O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,aromatic;epoxy;ester;ether,aromatic;ether;hydroxyl;phenol,环氧-羟基醚化，常需催化剂。,0.5,0.5,195.07208601858272,0.07208601858272345,True
CC(C)(C)N,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,primary_amine,aromatic;epoxy;ether;hydroxyl,环氧-伯胺开环固化。,0.6,0.4,195.07349076813895,0.07349076813895294,True
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,ether;primary_amine,anhydride;aromatic;ester;ether,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,0.05,0.95,195.0777005992173,0.07770059921730876,True
c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,Nc1ccc(-c2ccc(N)cc2)cc1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.6,0.4,194.9217208454995,0.07827915450050682,True
O=C(O)CC(O)(CC(=O)O)C(=O)O,COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,carboxylic_acid;hydroxyl,aromatic;epoxy;ether,环氧-羧酸开环酯化。,0.65,0.35,194.9200604306288,0.07993956937119151,True
COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.4,0.6,194.91926557922017,0.08073442077983373,True
CC(C)(c1ccc(OCCOCCOCCOCC2CO2)cc1)c1ccc(OCCOCCOCCOCC2CO2)cc1,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.45,0.55,195.08371769832954,0.08371769832953646,True
CC(C)(C)N,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,primary_amine,aromatic;imide;maleimide;vinyl,马来酰亚胺-胺 Michael 加成。,0.65,0.35,195.08778613621647,0.08778613621646514,True
CC(C)(c1ccc(OCCOCCOCCOCC2CO2)cc1)c1ccc(OCCOCCOCCOCC2CO2)cc1,C#Cc1cccc(N2COc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3C2)c1,aromatic;epoxy;ether,aromatic;ether;hydroxyl;phenol,环氧-羟基醚化，常需催化剂。,0.2,0.8,194.91165668453414,0.08834331546586327,True
COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,Nc1ccc(N)cc1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.4,0.6,195.09108186794666,0.09108186794665585,True
CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.5,0.5,195.0932308892783,0.09323088927828849,True
O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,Nc1cc(N)cc(N)c1,aromatic;imide;maleimide;vinyl,aromatic;primary_amine,马来酰亚胺-胺 Michael 加成。,0.7,0.30000000000000004,194.90594531197434,0.09405468802566475,True
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,Nc1ccc(Oc2ccc(N)cc2)cc1,anhydride;aromatic;ester;ether,aromatic;ether;primary_amine,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,0.2,0.8,194.90582456343512,0.09417543656488192,True
CC1(C)CC(N=C=O)CC(C)(N=C=O)C1,COc1cc(C(c2cc(C)c(O)c(O)c2)c2cc(C)c(O)c(O)c2)ccc1OCC1CO1,isocyanate,aromatic;epoxy;ether;hydroxyl;phenol,异氰酸酯-羟基形成聚氨酯。,0.45,0.55,194.90422558534226,0.09577441465773973,True
CC(CO)CO,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,hydroxyl,aromatic;epoxy;ether;vinyl,环氧-羟基醚化，常需催化剂。,0.05,0.95,194.89574095704378,0.10425904295621535,True
COc1cc(COCC2CO2)ccc1OCC1CO1,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,aromatic;epoxy;ether,anhydride;aromatic;ester;ether,环氧-酸酐固化，常需催化剂。,0.2,0.8,194.89248093238393,0.10751906761606733,True
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.6,0.4,194.88843477283112,0.11156522716888162,True
CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,O=C=NC1CCC(CC2CCC(N=C=O)CC2)CC1,aromatic;hydroxyl;phenol,isocyanate,异氰酸酯-羟基形成聚氨酯。,0.75,0.25,194.88592506042116,0.11407493957884185,True
Nc1cccc(N)c1,N#COc1ccc(CC2CCCC(Cc3ccc(OC#N)cc3)C2)cc1,aromatic;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-胺共反应。,0.8,0.19999999999999996,194.88325379984687,0.11674620015313053,True
Nc1ccc(Cc2ccc(N)cc2)cc1,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,aromatic;primary_amine,aromatic;epoxy;ether;vinyl,环氧-伯胺开环固化。,0.15,0.85,195.12362580190512,0.12362580190512062,True
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,aromatic;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.2,0.8,195.13370947085846,0.13370947085846296,True
C=CCOCC(CO)(COCC=C)COCC=C,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,ether;hydroxyl;vinyl,aromatic;imide;maleimide;vinyl,马来酰亚胺与烯基共聚/加成。,0.65,0.35,195.13383449768136,0.13383449768136302,True
CC(C)(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,Nc1ccc(N)cc1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.2,0.8,195.13587994216775,0.13587994216774746,True
COc1ccc(OCC2CO2)c(CCCC(=O)OCCOC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,Nc1ccc(-c2ccc(N)cc2)cc1,aromatic;epoxy;ester;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.3,0.7,195.13710051518967,0.13710051518967248,True
COc1cc(C(c2cc(C)c(OCC3CO3)c(O)c2)c2cc(C)c(OCC3CO3)c(O)c2)ccc1OCC1CO1,Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,aromatic;epoxy;ether;hydroxyl;phenol,aromatic;primary_amine,环氧-伯胺开环固化。,0.55,0.44999999999999996,194.86276776047956,0.1372322395204435,True
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.9,0.09999999999999998,194.85893115057488,0.14106884942512465,True
Nc1ccc(SSc2ccc(N)cc2)cc1,COc1cc(C(c2cc(C)c(OCC3CO3)c(O)c2)c2cc(C)c(OCC3CO3)c(O)c2)ccc1OCC1CO1,aromatic;primary_amine,aromatic;epoxy;ether;hydroxyl;phenol,环氧-伯胺开环固化。,0.4,0.6,195.1467063834925,0.14670638349249998,True
c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,aromatic;epoxy;ether,anhydride;aromatic;ester;ether,环氧-酸酐固化，常需催化剂。,0.6,0.4,195.14798860468656,0.14798860468656017,True
c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1,Nc1ccc(-c2ccc(N)c(N)c2)c(N)c1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.15,0.85,195.14808085115106,0.1480808511510645,True
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,aromatic;epoxy;ether;vinyl,aromatic;epoxy;ether;hydroxyl,环氧-羟基醚化，常需催化剂。,0.8,0.19999999999999996,194.8518908619313,0.14810913806869053,True
CCCCN,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,primary_amine,anhydride;aromatic;ester;ether,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,0.6,0.4,194.85100335426955,0.14899664573044902,True
COc1cc(CO)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,aromatic;epoxy;ether;hydroxyl,aromatic;ether;primary_amine,环氧-伯胺开环固化。,0.55,0.44999999999999996,194.84753050091848,0.1524694990815192,True
C=CCOCC(CO)(COCC=C)COCC=C,O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,ether;hydroxyl;vinyl,anhydride;aromatic;ester;ether,酸酐-羟基酯化。,0.45,0.55,195.15270674538513,0.15270674538513163,True
C#CCOc1ccc(Cc2ccc(O)cc2OCC#C)cc1,O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,aromatic;ether;hydroxyl;phenol,aromatic;epoxy;ether,环氧-羟基醚化，常需催化剂。,0.8,0.19999999999999996,195.15401727583648,0.1540172758364804,True
Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,aromatic;primary_amine,anhydride;aromatic;ester;ether,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,0.95,0.050000000000000044,194.84581792716546,0.15418207283454421,True
CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,aromatic;hydroxyl;phenol,aromatic;epoxy;ether,环氧-羟基醚化，常需催化剂。,0.05,0.95,195.16224410589575,0.162244105895752,True
COc1ccc(OCC2CO2)c(CCC(=O)OCC(COC(=O)CCc2ccc(OCC3CO3)c(OC)c2)OC(=O)CCc2ccc(OCC3CO3)c(OC)c2)c1,Nc1ccc(C(F)(F)F)c(-c2ccc(N)cc2C(F)(F)F)c1,aromatic;epoxy;ester;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.15,0.85,195.16349419905845,0.16349419905844798,True
O=C=NCCCCCCN=C=O,Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,isocyanate,aromatic;primary_amine,异氰酸酯-伯胺形成聚脲。,0.15,0.85,195.16800023205198,0.16800023205198045,True
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,CC1(C)CC(N)CC(C)(CN)C1,aromatic;epoxy;ether,primary_amine,环氧-伯胺开环固化。,0.35,0.65,194.83116190506556,0.16883809493444346,True
CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1,CCCCC1OC1CCCCC1OC1CCCCCCCC(=O)Oc1ccccc1,aromatic;hydroxyl;phenol,aromatic;epoxy;ester;ether,环氧-羟基醚化，常需催化剂。,0.75,0.25,194.82944112721904,0.17055887278095838,True
O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,aromatic;epoxy;ether,anhydride;aromatic;ester;ether,环氧-酸酐固化，常需催化剂。,0.5,0.5,194.82282202439725,0.17717797560274562,True
Nc1ccc(Cc2ccc(N)cc2)cc1,N#COc1ccc(CC2CCCC(Cc3ccc(OC#N)cc3)C2)cc1,aromatic;primary_amine,aromatic;cyanate_ester;ether;nitrile,氰酸酯-胺共反应。,0.1,0.9,194.82237609369173,0.17762390630826985,True
O=C1CCCC(=O)O1,CC(C)(c1ccc(N)cc1)c1ccc(C(C)(C)c2ccc(N)cc2)cc1,anhydride;ester;ether,aromatic;primary_amine,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,0.6,0.4,195.17870609695345,0.17870609695344797,True
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,COc1cc(CO)cc(-c2cc(CO)cc(OC)c2OCC2CO2)c1OCC1CO1,aromatic;epoxy;ether,aromatic;epoxy;ether;hydroxyl,环氧-羟基醚化，常需催化剂。,0.95,0.050000000000000044,194.81872508727577,0.18127491272423413,True
CC(N)COCC(C)OCC(C)OCC(C)N,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1,ether;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.05,0.95,194.80922616800723,0.19077383199277165,True
CC(C)(C)N,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.55,0.44999999999999996,195.1920586097386,0.19205860973860922,True
Nc1ccc(SSc2ccc(N)cc2)cc1,COc1cc(CC2CO2)ccc1OCc1ccc(COc2ccc(CC3CO3)cc2OC)cc1,aromatic;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.5,0.5,195.19747330924235,0.19747330924235484,True
O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,CC1(C)CC(CN)CC(CN)C1,aromatic;epoxy;ether,primary_amine,环氧-伯胺开环固化。,0.9,0.09999999999999998,194.80221461651598,0.19778538348401753,True
COc1cc(CC2CO2)ccc1OC(=O)c1ccc(C(=O)Oc2ccc(CC3CO3)cc2OC)cc1,Nc1ccc(-c2ccc(N)cc2)cc1,aromatic;epoxy;ester;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.5,0.5,194.80095643976216,0.19904356023783976,True
O=c1cc(-c2ccc(OCC3CO3)cc2)oc2cc(OCC3CO3)ccc12,Nc1ccccc1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.2,0.8,195.203321850849,0.2033218508489938,True
Nc1ccc(SSc2ccc(N)cc2)cc1,COc1cc(C(c2cc(C)c(OCC3CO3)c(O)c2)c2cc(C)c(OCC3CO3)c(O)c2)ccc1OCC1CO1,aromatic;primary_amine,aromatic;epoxy;ether;hydroxyl;phenol,环氧-伯胺开环固化。,0.7,0.30000000000000004,194.79496723314836,0.2050327668516445,True
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,aromatic;epoxy;ether,aromatic;ether;primary_amine,环氧-伯胺开环固化。,0.1,0.9,195.20536621362467,0.20536621362467145,True
Nc1ccc(Cc2ccc(N)cc2)cc1,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,aromatic;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.05,0.95,195.20585415270443,0.20585415270443264,True
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,Oc1ccc(Oc2ccc(O)cc2)cc1,aromatic;epoxy;ether;vinyl,aromatic;ether;hydroxyl;phenol,环氧-羟基醚化，常需催化剂。,0.7,0.30000000000000004,194.79152697725286,0.20847302274714252,True
