row_index,author,no,names,smiles,ratios,tg,n_monomers
383,,A1.5,4,CC(C)(c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|N#Cc1ccc(Oc2ccc(-c3ccccc3)cc2)c(C#N)c1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.38276617:0.57414426:0.04308957,322.0,3
384,,A2,5,CC(C)(c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|N#Cc1ccc(Oc2ccc(-c3ccccc3)cc2)c(C#N)c1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.31942681:0.63885361:0.04171958,306.0,3
385,,B0.5,6,CC(C)(c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccccc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)cc2C#N)cc1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.62633626:0.31316313:0.06050061,353.0,3
386,,B1,7,CC(C)(c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccccc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)cc2C#N)cc1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.46844000:0.46844000:0.06312000,328.0,3
387,,B1.5,8,CC(C)(c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccccc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)cc2C#N)cc1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.37413000:0.56119000:0.06468000,276.0,3
388,,B2,9,CC(C)(c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccccc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)cc2C#N)cc1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.31143000:0.62286000:0.06571000,253.0,3
389,,C0/D0,10,CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C#N)cc6C#N)cc5)cc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.90258000:0.09742000,380.0,2
390,,C0.5,11,CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C#N)cc6C#N)cc5)cc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|N#Cc1ccc(Oc2ccc(-c3ccccc3)cc2)c(C#N)c1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.61502000:0.30751000:0.07747000,328.0,3
391,,C1,12,CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C#N)cc6C#N)cc5)cc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|N#Cc1ccc(Oc2ccc(-c3ccccc3)cc2)c(C#N)c1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.46642000:0.46642000:0.06716000,308.0,3
392,,C1.5,13,CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C#N)cc6C#N)cc5)cc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|N#Cc1ccc(Oc2ccc(-c3ccccc3)cc2)c(C#N)c1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.37565000:0.56348000:0.06087000,290.0,3
393,,C2,14,CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C#N)cc6C#N)cc5)cc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|N#Cc1ccc(Oc2ccc(-c3ccccc3)cc2)c(C#N)c1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.31446000:0.62892000:0.05662000,275.0,3
394,,D0.5,15,CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C#N)cc6C#N)cc5)cc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccccc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)cc2C#N)cc1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.60751000:0.30375000:0.08874000,330.0,3
395,,D1,16,CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C#N)cc6C#N)cc5)cc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccccc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)cc2C#N)cc1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.45783000:0.45783000:0.08434000,318.0,3
396,,D1.5,17,CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C#N)cc6C#N)cc5)cc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccccc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)cc2C#N)cc1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.36733000:0.55100000:0.08167000,292.0,3
397,,D2,18,CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C#N)cc6C#N)cc5)cc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|CC(C)(c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccccc4)cc3)cc2)cc1)c1ccc(Oc2ccc(C#N)cc2C#N)cc1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.30670000:0.61341000:0.07989000,264.0,3
398,"Xia et al.,2024 Harnessing the power…",,1,C=CC(=O)OCCCOc1ccc(C(=O)Oc2ccc(C)c(OC(=O)c3ccc(OCCCOC(=O)C=C)cc3)c2)cc1|O=C(CCS)OCCC(COC(=O)CCS)(COC(=O)CCS)OC(=O)CCS|CC(C)(O)C(=O)c1ccc(OCCO)cc1|C1CCOC1|CCN(CC)CC,0.27767430:0.12040610:0.02004250:0.58166330:0.00021380,47.68,5
399,"Hu et al., 2025 Self-Sensing shape…",SMBPF-1,1,Oc1ccc(Oc2ccc(O)cc2)cc1|C=O|OB(O)O,0.26221738:0.52588474:0.21189788,79.0,3
400,,SMBPF-2,2,Oc1ccc(Oc2ccc(O)cc2)cc1|C=O|OB(O)O,0.25938000:0.52019000:0.22043000,89.0,3
401,,SMBPF-3,3,Oc1ccc(Oc2ccc(O)cc2)cc1|C=O|OB(O)O,0.25768742:0.51680483:0.22550774,95.0,3
402,"Xiao et al., 2015 Shape-Memory Polymers with Adjustable…",TP0,1,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21|Nc1ccc(Oc2ccc(N)cc2)cc1,0.50000000:0.50000000,316.0,2
403,,TP1,2,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21|Nc1ccc(Oc2ccc(N)cc2)cc1,0.50378000:0.49622000,314.0,2
404,,TP2,3,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21|Nc1ccc(Oc2ccc(N)cc2)cc1,0.50955000:0.49045000,311.0,2
405,,TP3,4,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21|Nc1ccc(Oc2ccc(N)cc2)cc1,0.51546000:0.48454000,304.0,2
406,,TP4,5,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21|Nc1ccc(Oc2ccc(N)cc2)cc1,0.51948000:0.48052000,299.0,2
407,,TS1 (TAP = 1%),6,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21|Nc1ccc(Oc2ccc(N)cc2)cc1|Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,0.50083000:0.49583000:0.00334000,322.0,3
408,,TS2 (TAP = 2.5%),7,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21|Nc1ccc(Oc2ccc(N)cc2)cc1|Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,0.50209000:0.48954000:0.00837000,323.0,3
409,,TS3 (TAP = 4%),8,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21|Nc1ccc(Oc2ccc(N)cc2)cc1|Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,0.50336000:0.48322000:0.01342000,322.0,3
410,,TS4 (TAP = 5%),9,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21|Nc1ccc(Oc2ccc(N)cc2)cc1|Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,0.50420000:0.47899000:0.01681000,321.0,3
411,"Zhang et al., 2016 Triple-shape memoryeffects…",TSMP1,1,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,0.44444444:0.44444444:0.11111111,95.0,3
412,,TSMP2,2,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,0.40000000:0.40000000:0.20000000,100.0,3
413,,TSMP3,3,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,0.36363636:0.36363636:0.27272727,120.0,3
414,,TSMP4,4,O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,0.33333333:0.33333333:0.33333333,123.0,3
415,"Xiao et al., 2016 (Soft Matter)",TSMPI (BPADA/BAB transparent shape memory polyimide feed),1,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1,0.52356000:0.47644000,171.0,2
416,"Gao et al.,2018 A novel low colored…",A1,1,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.50000000:0.47500000:0.02500000,180.0,3
417,,A2,2,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.50000000:0.30000000:0.20000000,196.0,3
418,,A3,3,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.50000000:0.10000000:0.40000000,212.0,3
419,,A4,4,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.50000000:0.02500000:0.47500000,220.0,3
420,"Luo et al., 2021 Multi-performance shap…",SMEP-1,1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1ccccc1|Nc1ccc(N)cc1,0.60000000:0.35000000:0.05000000,118.2,3
421,,SMEP-2,2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1ccccc1|Nc1cc(N)cc(N)c1,0.60000000:0.35000000:0.05000000,113.4,3
422,,SMEP-3,3,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1ccccc1|Nc1ccc(-c2ccc(N)c(N)c2)c(N)c1,0.60000000:0.35000000:0.05000000,107.0,3
423,,EP-ETBN5,4,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1ccc(N)cc1|N#CC(CC=CCC1CO1)CCC=CCC1CO1,0.55000000:0.40000000:0.05000000,114.8,3
424,,EP-ETBN10,5,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1ccc(N)cc1|N#CC(CC=CCC1CO1)CCC=CCC1CO1,0.50000000:0.40000000:0.10000000,98.1,3
425,,EP-ETBN15,6,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1ccc(N)cc1|N#CC(CC=CCC1CO1)CCC=CCC1CO1,0.45000000:0.40000000:0.15000000,94.1,3
426,,EP-ETBN20,7,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1ccc(N)cc1|N#CC(CC=CCC1CO1)CCC=CCC1CO1,0.40000000:0.40000000:0.20000000,91.9,3
427,,EP-ETBN10**,8,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1ccc(N)cc1|N#CC(CC=CCC1CO1)CCC=CCC1CO1|N#CNC(=N)N,0.44444000:0.35556000:0.10000000:0.10000000,130.7,4
428,"Huang et al., 2020 ActiveandDeformable…",CSMPI (TFDB/BPADA),1,Nc1ccc(C(F)(F)F)c(-c2ccc(N)cc2C(F)(F)F)c1|CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,0.48718000:0.51282000,230.0,2
429,"Huang et al., 2019 Flexible and colorless…",CPI1.0,1,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,0.50000000:0.50000000,250.0,2
430,,CPI0.97,2,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,0.50761000:0.49239000,240.0,2
431,,CPI0.95,3,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,0.51282000:0.48718000,233.0,2
432,,CPI0.93,4,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,0.51813000:0.48187000,227.0,2
433,"Wang et al., 2023 Rapid-actuating high-Tg…","M-SMPI (pure, baseline)",1,Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1|O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.50000000:0.50000000,416.0,2
434,"Li et al., 2023 A Tailorable Series…",DPS1,1,C=CCOc1ccc(SSc2ccc(OCC=C)cc2)cc1|O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,0.50000000:0.50000000,195.0,2
435,,DPS2,2,C=CCOc1ccc(SSc2ccc(OCC=C)cc2)cc1|O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.44444444:0.44444444:0.11111111,114.0,3
436,,DPS3,3,C=CCOc1ccc(SSc2ccc(OCC=C)cc2)cc1|O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.40000000:0.40000000:0.20000000,82.0,3
437,,DPS4,4,C=CCOc1ccc(SSc2ccc(OCC=C)cc2)cc1|O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.36363636:0.36363636:0.27272727,52.0,3
438,,DPS5,5,C=CCOc1ccc(SSc2ccc(OCC=C)cc2)cc1|O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.33333333:0.33333333:0.33333333,42.0,3
439,"Li et al., 2023 Programmable shape memory…",SMP1,1,O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|Cc1ccc(N=C=O)cc1N=C=O,0.33333333:0.33333333:0.33333333,176.0,3
440,,SMP2,2,O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|Cc1ccc(N=C=O)cc1N=C=O,0.30769000:0.30769000:0.38462000,193.0,3
441,,SMP3,3,O=C1C=CN(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O|CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|Cc1ccc(N=C=O)cc1N=C=O,0.28571286:0.28571286:0.42857429,204.0,3
442,"Sharifi & Grijpma, 2012",DLLA,1,CC1OC(=O)OC(C)C1=O|OCCCCCCO|CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Sn+2]|CC(C)(O)C(=O)c1ccc(OCCO)cc1,0.98214197:0.00503744:0.00019643:0.01262416,51.0,4
443,,DLLA(80):TMC(20),2,CC1OC(=O)OC(C)C1=O|O=C1OCCCO1|OCCCCCCO|CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Sn+2]|CC(C)(O)C(=O)c1ccc(OCCO)cc1,0.77852627:0.20446145:0.00494718:0.00019660:0.01186850,42.0,5
444,,DLLA(60):TMC(40),3,CC1OC(=O)OC(C)C1=O|O=C1OCCCO1|OCCCCCCO|CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Sn+2]|CC(C)(O)C(=O)c1ccc(OCCO)cc1,0.57274641:0.41135395:0.00459566:0.00019682:0.01110716,29.0,5
445,,DLLA(40):TMC(60),4,CC1OC(=O)OC(C)C1=O|O=C1OCCCO1|OCCCCCCO|CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Sn+2]|CC(C)(O)C(=O)c1ccc(OCCO)cc1,0.38725845:0.59813200:0.00398897:0.00019708:0.01042351,15.9,5
446,,DLLA(20):TMC(80),5,CC1OC(=O)OC(C)C1=O|O=C1OCCCO1|OCCCCCCO|CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Sn+2]|CC(C)(O)C(=O)c1ccc(OCCO)cc1,0.18955653:0.79672978:0.00382596:0.00019726:0.00969048,0.3,5
447,,TMC,6,O=C1OCCCO1|OCCCCCCO|CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Sn+2]|CC(C)(O)C(=O)c1ccc(OCCO)cc1,0.98712375:0.00369137:0.00019742:0.00898745,-12.8,4
