row_index,author,no,names,smiles,ratios,tg,n_monomers
319,,PEGDMA750-20wt%,21,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|C=CC(=O)OC(C)(C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.03966800:0.95436600:0.00596600,38.7,3
320,,PEGDMA750-40wt%,22,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|C=CC(=O)OC(C)(C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.09903700:0.89351600:0.00744700,23.2,3
321,,PEGDMA750-85wt%,23,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|C=CC(=O)OC(C)(C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.47691748:0.50620651:0.01687602,-7.5,3
322,,PEGDMA750-100wt%,24,C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.97080000:0.02920000,-22.0,2
323,"David L. Safranskia,Ken Gall, 2008",MMA + PEGDMA550 + DMPA,1,C=C(C)C(=O)OC|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89744103:0.09971900:0.00283997,91.3,3
324,,MA + PEGDMA550 + DMPA,2,C=CC(=O)OC|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89767000:0.09974000:0.00259000,23.5,3
325,,BA + PEGDMA550 + DMPA,3,C=CC(=O)OCCCC|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89700000:0.09967000:0.00333000,15.0,3
326,,tBA + PEGDMA550 + DMPA,4,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89700000:0.09967000:0.00333000,40.5,3
327,,tBMA + PEGDMA550 + DMPA,5,C=C(C)C(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89678897:0.09964100:0.00357004,89.5,3
328,,EEM + PEGDMA550 + DMPA,6,C=C(C)C(=O)OCCOCC|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89653897:0.09961100:0.00385004,19.5,3
329,,IMA + PEGDMA550 + DMPA,7,C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89552000:0.09950000:0.00498000,112.0,3
330,,2EHM + PEGDMA550 + DMPA,8,C=C(C)C(=O)OCC(CC)CCCC|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89590000:0.09954000:0.00456000,20.5,3
331,,BZA + PEGDMA550 + DMPA,9,C=CC(=O)OCc1ccccc1|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89646104:0.09960900:0.00392996,23.0,3
332,,IA + PEGDMA550 + DMPA,10,C=CC(=O)OCC(C)CCCCCCC|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89568000:0.09952000:0.00480000,23.5,3
333,,BMA + PEGDMA550 + DMPA,11,C=C(C)C(=O)OCc1ccccc1|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89625000:0.09958000:0.00417000,68.0,3
334,,EGPEM + PEGDMA550 + DMPA,12,C=C(C)C(=O)OCCOc1ccccc1|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89577000:0.09953000:0.00470000,40.5,3
335,,PPGA + PEGDMA550 + DMPA,13,C=CC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89044000:0.09894000:0.01062000,29.0,3
336,,PEGPEA236 + PEGDMA550 + DMPA,14,C=CC(=O)OCCOCCOc1ccccc1|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89530105:0.09947901:0.00521995,10.5,3
337,,PEGPEA280 + PEGDMA550 + DMPA,15,C=CC(=O)OCCOCCOCCOc1ccccc1|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89462000:0.09940000:0.00598000,3.5,3
338,,PEGPEA324 + PEGDMA550 + DMPA,16,C=CC(=O)OCCOCCOCCOCCOc1ccccc1|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89392106:0.09932901:0.00674993,9.5,3
339,,tBA + BPA1700 + DMPA,17,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOc1ccc(C(C)(C)c2ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C)cc2)cc1|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89499895:0.09944099:0.00556006,-2.75,3
340,,tBA + BPA540 + DMPA,18,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOc1ccc(C(C)(C)c2ccc(OCCOCCOC(=O)C(=C)C)cc2)cc1|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89702000:0.09967000:0.00331000,70.5,3
341,,tBA + BPA688 + DMPA,19,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOCCOCCOc1ccc(C(C)(C)c2ccc(OCCOCCOCCOC(=O)C(=C)C)cc2)cc1|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89676000:0.09964000:0.00360000,43.5,3
342,,tBA + BPA512 + DMPA,20,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOc1ccc(C(C)(C)c2ccc(OCCOC(=O)C(=C)C)cc2)cc1|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89707897:0.09967100:0.00325003,64.5,3
343,,tBA + BPA468 + DMPA,21,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOc1ccc(C(C)(C)c2ccc(OCCOC(=O)C(=C)C)cc2)cc1|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89715000:0.09968000:0.00317000,59.5,3
344,,tBA + NGPDA + DMPA,22,C=CC(=O)OC(C)(C)C|C=CC(=O)OCCCOCC(C)(C)COCCCOC(=O)C=C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89739000:0.09971000:0.00290000,62.5,3
345,,tBA + HEXDA + DMPA,23,C=CC(=O)OC(C)(C)C|C=CC(=O)OCCCCCCOC(=O)C=C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89757000:0.09973000:0.00270000,68.5,3
346,,tBA + PETA + DMPA,25,C=CC(=O)OC(C)(C)C|C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89744103:0.09971900:0.00283997,98.0,3
347,,tBA + TETA428 + DMPA,26,C=CC(=O)OC(C)(C)C|C=CC(=O)OCCOCC(CC)(COCCOC(=O)C=C)COCCOC(=O)C=C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89722000:0.09969000:0.00309000,83.0,3
348,,tBA + TETA604 + DMPA,27,C=CC(=O)OC(C)(C)C|C=CC(=O)OCCOCCOCCOCC(CC)(COCCOCCOC(=O)C=C)COCCOCCOC(=O)C=C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89691000:0.09966000:0.00343000,55.0,3
349,,tBA + TETA912 + DMPA,28,C=CC(=O)OC(C)(C)C|C=CC(=O)OCCOCCOCCOCCOCCOCC(CC)(COCCOCCOCCOCCOCCOC(=O)C=C)COCCOCCOCCOCCOC(=O)C=C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89637000:0.09960000:0.00403000,24.5,3
350,,tBA + TPTA + DMPA,29,C=CC(=O)OC(C)(C)C|C=CC(=O)OC(C)COC(C)COCC(CC)(COCC(C)OCC(C)OC(=O)C=C)COCC(C)OCC(C)OC(=O)C=C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89684000:0.09965000:0.00351000,58.0,3
351,,tBA + GPTA + DMPA,30,C=CC(=O)OC(C)(C)C|C=CC(=O)OCC(C)OCC(COCC(C)OC(=O)C=C)OCC(C)OC(=O)C=C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89722000:0.09969000:0.00309000,69.5,3
352,,tBA + DTTA + DMPA,31,C=CC(=O)OC(C)(C)C|C=CC(=O)OCC(CC)(COCC(CC)(COC(=O)C=C)COC(=O)C=C)COC(=O)C=C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89715000:0.09968000:0.00317000,92.0,3
353,,tBA + DPPHA + DMPA,32,C=CC(=O)OC(C)(C)C|C=CC(=O)OCC(CO)(COCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C)COC(=O)C=C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.89705000:0.09967000:0.00328000,74.0,3
354,,BMA87.2-PEGDMA55012.8-DMPA,33,C=C(C)C(=O)OCc1ccccc1|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.86819000:0.12744000:0.00437000,59.75,3
355,,BMA50-PEGDMA55050-DMPA,34,C=C(C)C(=O)OCc1ccccc1|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.49646504:0.49646504:0.00706993,33.59,3
356,,tBA87.2-PEGDMA55012.8-DMPA,35,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.86890000:0.12754000:0.00356000,43.1,3
357,,tBA50-PEGDMA55050-DMPA,36,C=CC(=O)OC(C)(C)C|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.49670000:0.49670000:0.00660000,27.56,3
358,,EEM87.2-PEGDMA55012.8-DMPA,37,C=C(C)C(=O)OCCOCC|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.86845000:0.12748000:0.00407000,25.55,3
359,,EEM50-PEGDMA55050-DMPA,38,C=C(C)C(=O)OCCOCC|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.49655497:0.49655497:0.00689007,21.62,3
360,,EGPEM87.2-PEGDMA55012.8-DMPA,39,C=C(C)C(=O)OCCOc1ccccc1|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.86774000:0.12738000:0.00488000,48.15,3
361,,BZA87.2-PEGDMA55012.8-DMPA,40,C=CC(=O)OCc1ccccc1|C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C|COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.86839000:0.12747000:0.00414000,23.02,3
362,Zheng et al. 2026 ToughThermal-Step-Responsive…,SPU-0.25,1,O=C(OCCCCCCO)OCCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCO|O=C=NC1CCC(CC2CCC(N=C=O)CC2)CC1|OCc1cccc(CO)n1|Nc1ccc(SSc2ccc(N)cc2)cc1|CCCCCCCCCCCC(=O)[O][Sn]([CH2]CCC)([CH2]CCC)[O]C(=O)CCCCCCCCCCC|O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Zn+2],0.24248675:0.48312720:0.12078180:0.12078180:0.00262700:0.03019545,-17.0,6
363,"Luo et al., 2024 Triple-shape memory…",P-pea (cured),1,CC(COCC(C)N1COc2ccccc2C1)OCC(C)OCC(C)N1COc2ccccc2C1,1.00000000,237.0,1
364,,P-fa (cured),2,c1coc(CN2COc3ccccc3C2)c1,1.00000000,333.7,1
365,,PBz5-1 (P-pea:P-fa = 5:1),3,CC(COCC(C)N1COc2ccccc2C1)OCC(C)OCC(C)N1COc2ccccc2C1|c1coc(CN2COc3ccccc3C2)c1,0.83333000:0.16667000,236.3,2
366,,PBz5-2 (P-pea:P-fa = 5:2),4,CC(COCC(C)N1COc2ccccc2C1)OCC(C)OCC(C)N1COc2ccccc2C1|c1coc(CN2COc3ccccc3C2)c1,0.71429000:0.28571000,251.9,2
367,,PBz5-3 (P-pea:P-fa = 5:3),5,CC(COCC(C)N1COc2ccccc2C1)OCC(C)OCC(C)N1COc2ccccc2C1|c1coc(CN2COc3ccccc3C2)c1,0.62500000:0.37500000,203.6,2
368,,PBz5-4 (P-pea:P-fa = 5:4),6,CC(COCC(C)N1COc2ccccc2C1)OCC(C)OCC(C)N1COc2ccccc2C1|c1coc(CN2COc3ccccc3C2)c1,0.55556000:0.44444000,234.5,2
369,,PBz5-5 (P-pea:P-fa = 5:5),7,CC(COCC(C)N1COc2ccccc2C1)OCC(C)OCC(C)N1COc2ccccc2C1|c1coc(CN2COc3ccccc3C2)c1,0.50000000:0.50000000,259.5,2
370,,MWCNT(4 wt%)/PBz5-2,8,CC(COCC(C)N1COc2ccccc2C1)OCC(C)OCC(C)N1COc2ccccc2C1|c1coc(CN2COc3ccccc3C2)c1|c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,0.67605000:0.27042000:0.05353000,176.0,3
371,,MWCNT(6 wt%)/PBz5-2,9,CC(COCC(C)N1COc2ccccc2C1)OCC(C)OCC(C)N1COc2ccccc2C1|c1coc(CN2COc3ccccc3C2)c1|c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,0.65733343:0.26293737:0.07972920,148.6,3
372,,MWCNT(8 wt%)/PBz5-2,10,CC(COCC(C)N1COc2ccccc2C1)OCC(C)OCC(C)N1COc2ccccc2C1|c1coc(CN2COc3ccccc3C2)c1|c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,0.63888639:0.25555256:0.10556106,164.5,3
373,,MWCNT(10 wt%)/PBz5-2,11,CC(COCC(C)N1COc2ccccc2C1)OCC(C)OCC(C)N1COc2ccccc2C1|c1coc(CN2COc3ccccc3C2)c1|c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,0.62068000:0.24827000:0.13105000,146.6,3
374,"Li et al., 2024 4D printed…",BMIP-1,1,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1|C=CCOc1ccc(SSc2ccc(OCC=C)cc2)cc1|C=CN1CCCC1=O|Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,0.19401000:0.19401000:0.58202000:0.02996000,187.4,4
375,,BMIP-2,2,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1|C=CCOc1ccc(SSc2ccc(OCC=C)cc2)cc1|C=CN1CCCC1=O|Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,0.17659000:0.17659000:0.61807000:0.02875000,182.8,4
376,,BMIP-3,3,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1|C=CCOc1ccc(SSc2ccc(OCC=C)cc2)cc1|C=CN1CCCC1=O|Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,0.16204000:0.16204000:0.64817000:0.02775000,178.2,4
377,Du et al. 2025 Adjustable-stiffness and programmable...,,1,C=Cc1ccccc1|C=CC(=O)OCCCC|C=Cc1ccc(C=C)cc1|O=C(OOC(=O)c1ccccc1)c1ccccc1,0.81044100:0.16464000:0.01620800:0.00871100,90.3,4
378,,,2,C=Cc1ccccc1|C=CC(=O)OCCCC|C=CC(=O)OCCOCCOC(=O)C=C|O=C(OOC(=O)c1ccccc1)c1ccccc1,0.81046419:0.16464484:0.01617898:0.00871199,88.1,4
379,,,3,C=Cc1ccccc1|C=CC(=O)OCCCC|C=CC(=O)OCCOCCOCCOCCOCCOCCOC(=O)C=C|O=C(OOC(=O)c1ccccc1)c1ccccc1,0.81046419:0.16464484:0.01617898:0.00871199,81.2,4
380,"Hu et al.,2024 An end-capping…",A0/B0,1,CC(C)(c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.94475000:0.05525000,436.0,2
381,,A0.5,2,CC(C)(c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|N#Cc1ccc(Oc2ccc(-c3ccccc3)cc2)c(C#N)c1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.63431000:0.31716000:0.04853000,364.0,3
382,,A1,3,CC(C)(c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1|N#Cc1ccc(Oc2ccc(-c3ccccc3)cc2)c(C#N)c1|Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,0.47743477:0.47743477:0.04513045,355.0,3
