ML method,latent_size,model_family,predictor_kind,model_path,PCP training dataset (%),PCP test dataset (%),MAPE training dataset (%),MAPE test dataset (%),MAPEK training dataset (%),MAPEK test dataset (%),MAE training dataset (C),MAE test dataset (C),RMSE training dataset (C),RMSE test dataset (C),R2 training,R2 test
VAE (1024) + MLP_64,1024,model_zoo,joblib,artifacts/reproduce/predictors/latent_1024/zoo_mlp_64_latent_1024.joblib,23.42105263157895,16.176470588235293,68.66096057930287,465.97517069075514,10.889864579418997,12.70862238126001,42.64019786182203,53.996168209349406,54.78845881782784,73.26507468113955,0.543663501739502,0.4200838804244995
VAE (1024) + MLP_128_64,1024,model_zoo,joblib,artifacts/reproduce/predictors/latent_1024/zoo_mlp_128_64_latent_1024.joblib,21.31578947368421,17.647058823529413,59.14082346449173,420.61434404640494,9.951469586763316,11.675362663592534,39.46112914587322,49.37396578490734,49.42860458882543,66.83124988392048,0.6285813450813293,0.5174632668495178
VAE (1024) + MLP_256_128_64,1024,model_zoo,joblib,artifacts/reproduce/predictors/latent_1024/zoo_mlp_256_128_64_latent_1024.joblib,17.105263157894736,11.76470588235294,92.44482095797686,563.9095971293007,13.315488154348968,15.285425362139351,49.169293812701575,59.32697769035311,56.93902599261168,70.03308291299913,0.5071360468864441,0.4701197147369385
VAE (1024) + PLS_2,1024,model_zoo,joblib,artifacts/reproduce/predictors/latent_1024/zoo_pls_2_latent_1024.joblib,24.736842105263158,19.11764705882353,68.20800557749705,496.24797367074837,11.074856024176439,12.62993105445732,44.04197039245553,54.874215520359826,58.2617268903915,77.55040342780921,0.4839714496656722,0.35026043075004154
VAE (1024) + PLS_8,1024,model_zoo,joblib,artifacts/reproduce/predictors/latent_1024/zoo_pls_8_latent_1024.joblib,36.84210526315789,32.35294117647059,54.768894046581664,399.1680784451711,7.843502924192474,8.655797651746559,30.862130810910166,35.60810246379183,40.55656553084898,48.08958215360954,0.7499485570363853,0.7501535400008593
VAE (1024) + GaussianProcess_RBF,1024,model_zoo,joblib,artifacts/reproduce/predictors/latent_1024/zoo_gaussianprocess_rbf_latent_1024.joblib,98.15789473684211,64.70588235294117,3.06863750090208,24.63788791008767,0.7014145592181601,5.05725689902984,2.740976306457176,21.804383257856692,4.347512506811915,42.082783536134144,0.9971266488470104,0.8086713048095
VAE (1024) + XGBoost_hist_depth3,1024,model_zoo,joblib,artifacts/reproduce/predictors/latent_1024/zoo_xgboost_hist_depth3_latent_1024.joblib,91.3157894736842,50.0,5.921921343851663,93.28817214957643,1.0011489904389244,6.109310384482662,3.79309490479921,27.589262656429234,4.949504552642513,49.08386111243635,0.9962758421897888,0.7397152781486511
VAE (1024) + XGBoost_hist_depth5,1024,model_zoo,joblib,artifacts/reproduce/predictors/latent_1024/zoo_xgboost_hist_depth5_latent_1024.joblib,99.21052631578947,55.88235294117647,1.9274683124620404,38.34468313815447,0.3338160333155463,5.825999469267342,1.2655248303162425,26.537117666181395,1.6197597354787476,49.8641732637885,0.9996011257171631,0.7313737869262695
VAE (1024) + LightGBM_leaves31,1024,model_zoo,joblib,artifacts/reproduce/predictors/latent_1024/zoo_lightgbm_leaves31_latent_1024.joblib,98.68421052631578,47.05882352941176,2.061514655964356,155.3043373961967,0.36290078332723086,6.349716906677094,1.5130741840592352,28.587335209716656,3.4841241848469973,50.51144063456251,0.9981545840208265,0.7243546289477432
VAE (1024) + LightGBM_leaves63,1024,model_zoo,joblib,artifacts/reproduce/predictors/latent_1024/zoo_lightgbm_leaves63_latent_1024.joblib,95.78947368421052,50.0,3.8458655066665446,153.13498370559574,0.6425242130786113,6.279047055234299,2.640234234688548,28.35261726221372,5.184936968704357,50.01443406140895,0.9959131002309378,0.7297523593161757
VAE (1024) + CatBoost_depth6,1024,model_zoo,joblib,artifacts/reproduce/predictors/latent_1024/zoo_catboost_depth6_latent_1024.joblib,86.57894736842105,54.41176470588235,9.592417521483762,136.77947123032493,1.5169693031053046,6.167654207758353,5.760605519609988,28.256026051503085,7.254100148238156,53.26405625592823,0.99200029230352,0.6934935159251168
VAE (1024) + CatBoost_depth8,1024,model_zoo,joblib,artifacts/reproduce/predictors/latent_1024/zoo_catboost_depth8_latent_1024.joblib,82.36842105263158,52.94117647058824,12.212672890809708,155.20691281903873,1.8849173378477813,6.61835353503708,7.196392311761328,29.907223375554068,9.209632734088958,53.86908925071874,0.9871058817872065,0.6864906774577735
VAE (1024) + NGBoost,1024,model_zoo,joblib,artifacts/reproduce/predictors/latent_1024/zoo_ngboost_latent_1024.joblib,86.57894736842105,47.05882352941176,8.078186900357183,236.09308805705354,1.3268229826470836,6.6191186791771495,5.034556719122207,29.314829727858612,6.539305429096951,50.41455111874326,0.993499148148903,0.7254110839521545
