epoch,loss,reconstruction,kl,validity,cosine
1.0,0.7248120984845002,0.6249698403821116,0.00012104611643670467,0.0027881040892193307,0.12415433346837426
2.0,0.37107520733291777,0.25512947404556335,0.01637555799792351,0.004298327137546468,0.5232919150180976
3.0,0.14759627699187253,0.03295306672712573,0.01464320865518597,0.0,0.7618488450032628
4.0,0.14143271530981844,0.030135798887747815,0.01129691472249348,0.0,0.7730398252329419
5.0,0.1350435615139823,0.028001802436813546,0.00704175756108639,0.0,0.7744917101798005
6.0,0.12941940958338155,0.026792059894858906,0.00263896520958424,0.00011617100371747211,0.7739087826257302
7.0,0.12699506561995438,0.025979336365004897,0.001015727887740255,0.0,0.7774486669155745
8.0,0.1258288415418903,0.02528018753310894,0.0005486525444151162,0.0,0.7817166654815461
9.0,0.12501915768619806,0.024578361733916965,0.00044079416030740927,0.0,0.7863804730119315
10.0,0.12444582148056935,0.024011115879374365,0.0004347041802680757,0.0,0.7905925352777247
11.0,0.12405116728690477,0.023602153164192646,0.00044901255913317676,0.0,0.7943096720374649
12.0,0.12373236933771563,0.023266094227816534,0.00046627353257967027,0.0,0.798230241776399
13.0,0.12338212327720065,0.02289899671277149,0.00048312497033986876,0.0,0.8033287373395658
14.0,0.12289745176425654,0.02239589791980375,0.0005015522992125016,0.0,0.8109511221208537
15.0,0.12227464518527116,0.02179086404994518,0.0005186309479263552,0.00034851301115241634,0.8192104609703929
16.0,0.12172438772083659,0.02126692757910623,0.000538778410308958,0.0008131970260223048,0.82394356997926
17.0,0.12099109170439075,0.020793263682728585,0.0005579567588471936,0.0036013011152416356,0.826562017423956
18.0,0.11844082819263288,0.020331302366901508,0.0005723502161608815,0.02462825278810409,0.8284800953359852
19.0,0.11732406588790585,0.019957931847294247,0.0005724528599071721,0.032063197026022304,0.8295710822463479
20.0,0.11499917109715008,0.01953038409504638,0.0005803108153662205,0.05111524163568773,0.8306965198658656
