epoch,loss,reconstruction,kl,validity,cosine
1.0,0.08725358915041413,0.018832064380771237,4.713720145127011e-07,0.3157894736842105,0.8144579885298746
2.0,0.01959792393864247,0.01850096051368797,4.7231163921822913e-07,0.9890350877192983,0.8157725240054884
3.0,0.019158858479115002,0.01839084263172066,4.718424710908789e-07,0.9923245614035088,0.8159995445033961
4.0,0.01887374887602371,0.01832503165330803,4.715877696925051e-07,0.9945175438596491,0.8161632324519911
5.0,0.01872855784338817,0.0182894897696219,4.7169282680171593e-07,0.9956140350877193,0.816217020938271
6.0,0.019141491208421558,0.018263826310111766,4.7193992115449204e-07,0.9912280701754386,0.8162581470974705
7.0,0.018351170871602863,0.018241049525769132,4.7217113225933486e-07,0.9989035087719298,0.8162912527720133
8.0,0.01877006943942162,0.018221352412773853,4.7144372946636477e-07,0.9945175438596491,0.8163756236695406
9.0,0.018429977623255628,0.018210207259184437,4.7212701877453997e-07,0.9978070175438597,0.8163767477922272
10.0,0.018301441709984812,0.018191321050388773,4.7158614167704384e-07,0.9989035087719298,0.8164591287311754
11.0,0.018627451830788663,0.01818838274400485,4.725380714868758e-07,0.9956140350877193,0.816401834027809
12.0,0.018391251400635952,0.018171481199954684,4.719637520099097e-07,0.9978070175438597,0.8165022793569063
13.0,0.01860297739244344,0.01816390889386336,4.721009645436425e-07,0.9956140350877193,0.816490908463796
14.0,0.01815287131620081,0.018152399838232157,4.715516471956985e-07,1.0,0.8165709805070308
15.0,0.018589843522038376,0.018150774565966504,4.7240322294129057e-07,0.9956140350877193,0.8165171407816703
16.0,0.018139369655073734,0.018138897621579338,4.720736328317001e-07,1.0,0.8165830426048815
17.0,0.01824156495562771,0.018131443838539877,4.720093309579329e-07,0.9989035087719298,0.8165960270061827
18.0,0.018123700071060865,0.01812322823363438,4.718960554870583e-07,1.0,0.816650204491197
19.0,0.018119952951868374,0.018119480395526216,4.725805474823063e-07,1.0,0.8166289580495734
20.0,0.018223337502333157,0.018113216058465473,4.7229596140440617e-07,0.9989035087719298,0.816670624833358
