smiles_a,smiles_b,groups_a,groups_b,compatibility_reason,ratio_a,ratio_b,predicted_tg,target_distance,in_target_range,candidate_smiles,candidate_ratios,candidate_components,pred_gaussianprocess_rbf_tg_c,sigma_gaussianprocess_rbf_tg_c,pred_nusvr_rbf_tg_c,pred_xgboost_hist_depth3_tg_c,pred_extratrees_300_tg_c,pred_extratrees_600_tg_c,pred_gradientboosting_squared_tg_c,ensemble_mean_tg_c,ensemble_std_tg_c,ensemble_min_tg_c,ensemble_max_tg_c,ensemble_range_tg_c,ensemble_model_count,best_model_predicted_tg_c,best_model_delta_c,gpr_sigma_tg_c,ensemble_target_distance_c,disagreement_bucket,ensemble_near_target,ensemble_near_target_low_disagreement,ensemble_near_target_high_disagreement
CC(C)(COCC1CO1)COCC1CO1,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,epoxy;ether,anhydride;aromatic;ester;ether,环氧-酸酐固化，常需催化剂。,0.2,0.8,193.8902053415003,1.109794658499709,True,CC(C)(COCC1CO1)COCC1CO1|O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,0.20000:0.80000,2,194.05365057879422,56.15782651470842,207.51700058401647,206.82921,183.03051155274235,187.27789843192548,186.53378392600504,194.20700890791784,9.732286159127646,183.03051155274235,207.51700058401647,24.486489031274118,6,193.8902053415003,0.3168035664175477,56.15782651470842,0.7929910920821612,low_disagreement,True,True,False
C1OC1COC1COC2C(OCC3CO3)COC12,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,epoxy;ether,anhydride;aromatic;ester;ether,环氧-酸酐固化，常需催化剂。,0.25,0.75,194.0578382293033,0.942161770696714,True,C1OC1COC1COC2C(OCC3CO3)COC12|O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,0.25000:0.75000,2,194.2850019572249,56.085325894746006,182.03458245324788,207.26515,188.62280480407085,193.21064507435295,199.51610109598747,194.15571456040388,7.948122406161349,182.03458245324788,207.26515197753906,25.230569524291184,6,194.0578382293033,0.09787633110059346,56.085325894746006,0.8442854395961206,low_disagreement,True,True,False
Nc1ccc(Cc2ccc(N)cc2)cc1,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,aromatic;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.35,0.65,203.3008393061693,8.300839306169308,False,Nc1ccc(Cc2ccc(N)cc2)cc1|COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1,0.35000:0.65000,2,203.25650807094826,5.337934682088589,203.83191194521714,189.73059,193.1676688060068,192.9617522498688,181.8312163363004,194.12994137144233,7.641182388987418,181.8312163363004,203.83191194521714,22.000695608916743,6,203.3008393061693,-9.17089793472698,5.337934682088589,0.8700586285576719,low_disagreement,True,True,False
COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1,CC1(C)CC(CN)CC(C)(N)C1,aromatic;epoxy;ether,primary_amine,环氧-伯胺开环固化。,0.5,0.5,204.76382915641668,9.763829156416676,False,COc1cc(COCC2CO2)cc(-c2cc(COCC3CO3)cc(OC)c2OCC2CO2)c1OCC1CO1|CC1(C)CC(CN)CC(C)(N)C1,0.50000:0.50000,2,204.5888413430322,11.404071095793611,201.74869823184287,184.65205,191.10007124309007,189.45438777428936,193.22785496324315,194.1286512314176,6.941650395024421,184.6520538330078,204.5888413430322,19.936787510024374,6,204.76382915641668,-10.635177924999084,11.404071095793611,0.8713487685824077,low_disagreement,True,True,False
C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,CC1CCC2C(=O)OC(=O)C2C1,aromatic;epoxy;ether;vinyl,anhydride;ester;ether,环氧-酸酐固化，常需催化剂。,0.95,0.05,208.39430713122485,13.39430713122485,False,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1|CC1CCC2C(=O)OC(=O)C2C1,0.95000:0.05000,2,208.87142199302866,58.98291795799863,176.3835481707507,195.81476,198.70479818308579,194.62939160858002,200.87942247406122,195.88055678838126,9.860955541498232,176.3835481707507,208.87142199302866,32.487873822277976,6,208.39430713122485,-12.513750342843593,58.98291795799863,0.8805567883812557,low_disagreement,True,True,False
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,ether;primary_amine,anhydride;aromatic;ester;ether,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,0.05,0.95,200.13736829667548,5.137368296675476,False,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N|O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,0.05000:0.95000,2,200.24671904187375,102.20777634231034,183.27482279147256,187.45526,207.61635289322768,207.8829896391331,188.9033034355853,195.89657483862686,9.827014951106792,183.27482279147256,207.8829896391331,24.608166847660527,6,200.13736829667548,-4.240793458048614,102.20777634231034,0.8965748386268615,low_disagreement,True,True,False
O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1,C=CCOc1ccc(SSc2ccc(OCC=C)cc2)cc1,aromatic;imide;maleimide;vinyl,aromatic;ether;vinyl,马来酰亚胺与烯基共聚/加成。,0.7,0.3,192.38387031164524,2.6161296883547607,True,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1|C=CCOc1ccc(SSc2ccc(OCC=C)cc2)cc1,0.70000:0.30000,2,192.71173752900341,39.64375714729556,204.61046814471868,208.51562,187.02541935879228,189.0111964188358,193.85349291802814,195.95465656156307,7.911756342727557,187.02541935879228,208.515625,21.490205641207723,6,192.38387031164524,3.5707862499178304,39.64375714729556,0.9546565615630698,low_disagreement,True,True,False
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,aromatic;epoxy;ether,aromatic;primary_amine,环氧-伯胺开环固化。,0.65,0.35,199.3400009750793,4.340000975079306,True,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,0.65000:0.35000,2,199.5200902036023,4.829016492024271,195.5645181378292,198.69582,193.8215013997454,193.13465126580644,195.62471129643987,196.06021472391038,2.342479806691004,193.13465126580644,199.5200902036023,6.385438937795868,6,199.3400009750793,-3.279786251168929,4.829016492024271,1.0602147239103772,low_disagreement,True,True,False
CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,CC1(C)CC(CN)CC(C)(N)C1,anhydride;aromatic;ester;ether,primary_amine,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,0.65,0.35,179.47081173408344,15.52918826591656,False,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1|CC1(C)CC(CN)CC(C)(N)C1,0.65000:0.35000,2,179.24534772917946,77.73781121787039,184.12913523094383,205.98988,199.13860256366783,198.31743300797137,196.72910013768134,193.92491701538256,9.231744746029568,179.24534772917946,205.98988342285156,26.744535693672105,6,179.47081173408344,14.454105281299121,77.73781121787039,1.0750829846174383,low_disagreement,True,True,False
Nc1ccc(Oc2ccc(N)cc2)cc1,C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,aromatic;ether;primary_amine,aromatic;epoxy;ether;vinyl,环氧-伯胺开环固化。,0.15,0.85,197.60054572275504,2.600545722755044,True,Nc1ccc(Oc2ccc(N)cc2)cc1|C=CCc1ccc(OCC2CO2)c(-c2cc(CC=C)ccc2OCC2CO2)c1,0.15000:0.85000,2,197.87838668073152,36.37851943881976,186.7463521692186,196.46706,202.90183597937425,199.1787695221984,193.86187810122334,196.17237978786002,5.025098147131708,186.7463521692186,202.90183597937425,16.15548381015566,6,197.60054572275504,-1.42816593489502,36.37851943881976,1.1723797878600237,low_disagreement,True,True,False
