smiles_a,smiles_b,groups_a,groups_b,compatibility_reason,ratio_a,ratio_b,predicted_tg,target_distance,in_target_range,candidate_smiles,candidate_ratios,candidate_components,pred_gaussianprocess_rbf_tg_c,sigma_gaussianprocess_rbf_tg_c,pred_nusvr_rbf_tg_c,pred_xgboost_hist_depth3_tg_c,pred_extratrees_300_tg_c,pred_extratrees_600_tg_c,pred_gradientboosting_squared_tg_c,ensemble_mean_tg_c,ensemble_std_tg_c,ensemble_min_tg_c,ensemble_max_tg_c,ensemble_range_tg_c,ensemble_model_count,best_model_predicted_tg_c,best_model_delta_c,gpr_sigma_tg_c,ensemble_target_distance_c,disagreement_bucket,ensemble_near_target,ensemble_near_target_low_disagreement,ensemble_near_target_high_disagreement
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,OC(COC1COC2C(OCC3CO3)COC12)COC1COC2C(OCC3CO3)COC12,aromatic;epoxy;ether,epoxy;ether;hydroxyl,环氧-羟基醚化，常需催化剂。,0.95,0.05,187.18291154041043,7.81708845958957,False,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1|OC(COC1COC2C(OCC3CO3)COC12)COC1COC2C(OCC3CO3)COC12,0.95000:0.05000,2,187.24196023379446,127.52679508996091,50.493674888714104,257.4677,224.83214210911365,226.46947867509493,235.81308801488447,197.05300938732424,68.75704100903567,50.493674888714104,257.46771240234375,206.97403751362964,6,187.18291154041043,9.870097846913808,127.52679508996091,2.053009387324238,high_disagreement,True,False,True
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,ether;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.05,0.95,183.8766978974679,11.123302102532108,False,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCN|Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,0.05000:0.95000,2,183.95191547723988,123.34600897975724,44.418749830460754,252.73068,218.04862160111475,219.53898821788266,228.53614895950668,191.20418440987524,68.67948462852475,44.418749830460754,252.73068237304688,208.31193254258613,6,183.8766978974679,7.327486512407347,123.34600897975724,3.7958155901247608,high_disagreement,True,False,True
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,CC1CCC2C(=O)OC(=O)C2C1,aromatic;primary_amine,anhydride;ester;ether,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,0.6,0.4,212.37258007495416,17.372580074954158,False,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1|CC1CCC2C(=O)OC(=O)C2C1,0.60000:0.40000,2,212.3621611797718,73.41090169638446,340.7448568972987,163.24715,148.25583366763857,147.39815034130413,160.27615168143996,195.3807167289831,68.56515246974902,147.39815034130413,340.7448568972987,193.34670655599456,6,212.37258007495416,-16.99186334597107,73.41090169638446,0.3807167289830886,high_disagreement,True,False,True
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,c1coc(CNCc2ccco2)c1,aromatic;isocyanate,aromatic;secondary_amine,异氰酸酯-仲胺形成脲键。,0.7,0.3,208.36678469856423,13.366784698564231,False,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1|c1coc(CNCc2ccco2)c1,0.70000:0.30000,2,208.24600710156324,71.46127451464363,346.71763925452655,163.44395,151.81060043207663,151.07621669006625,177.43819494427171,199.78876881504632,68.50173830672799,151.07621669006625,346.71763925452655,195.6414225644603,6,208.36678469856423,-8.578015883517907,71.46127451464363,4.788768815046325,high_disagreement,True,False,True
Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1,Cc1ccc(N=C=O)cc1N=C=O,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,0.45,0.55,185.8928034078372,9.107196592162808,False,Nc1ccc(N(c2ccc(N)cc2)c2ccc(N)cc2)cc1|Cc1ccc(N=C=O)cc1N=C=O,0.45000:0.55000,2,185.64345535682068,67.34328537533952,342.7646182363803,153.80875,155.99889944376304,155.57523255948695,155.91349740994409,191.6174082240476,68.49957172953894,153.80874633789062,342.7646182363803,188.95587189848965,6,185.8928034078372,5.724604816210416,67.34328537533952,3.382591775952392,high_disagreement,True,False,True
Nc1cccc(N)c1,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,aromatic;primary_amine,aromatic;isocyanate,异氰酸酯-伯胺形成聚脲。,0.2,0.8,201.31639890640292,6.316398906402952,False,Nc1cccc(N)c1|O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,0.20000:0.80000,2,201.18002202918058,66.79924174259364,339.7411367090257,154.76447,147.58923322930593,148.075736419477,161.78190065713324,192.1887490626923,68.45044220631006,147.58923322930593,339.7411367090257,192.15190347971975,6,201.31639890640292,-9.127649843710628,66.79924174259364,2.8112509373077046,high_disagreement,True,False,True
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,CC12CCCCC1C(=O)OC2=O,aromatic;primary_amine,anhydride;ester;ether,酸酐-胺形成聚酰胺酸/聚酰亚胺前体。,0.7,0.3,213.55607340642896,18.556073406428965,False,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1|CC12CCCCC1C(=O)OC2=O,0.70000:0.30000,2,213.5619719252772,69.99826705759021,340.217840318927,161.293,151.0612003124874,147.7952503990513,160.7020079495416,195.77187836214375,68.19165861910692,147.7952503990513,340.217840318927,192.42258991987572,6,213.55607340642896,-17.784195044285212,69.99826705759021,0.7718783621437524,high_disagreement,True,False,True
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,Nc1ccc(N)cc1,aromatic;isocyanate,aromatic;primary_amine,异氰酸酯-伯胺形成聚脲。,0.8,0.1999999999999999,197.4412943692644,2.4412943692643694,True,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1|Nc1ccc(N)cc1,0.80000:0.20000,2,197.325764989201,66.42173772713441,337.2169302922047,154.62608,146.5689332667069,147.61256987050143,161.96680962524272,190.88618190297998,67.62877225186735,146.5689332667069,337.2169302922047,190.64799702549783,6,197.4412943692644,-6.555112466284413,66.42173772713441,4.113818097020015,high_disagreement,True,False,True
CC(N)COCC(C)COC(OCC(C)COCC(C)N)OCC(C)COCC(C)N,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,ether;primary_amine,aromatic;epoxy;ether,环氧-伯胺开环固化。,0.05,0.95,188.2045189503243,6.795481049675686,False,CC(N)COCC(C)COC(OCC(C)COCC(C)N)OCC(C)COCC(C)N|Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,0.05000:0.95000,2,188.26313929187646,126.03255732589423,53.96194155948784,257.27536,224.28088191173816,226.58618199696912,235.81308801488447,197.6967654803963,67.44438390880177,53.96194155948784,257.2753601074219,203.31341854793402,6,188.2045189503243,9.49224653007198,126.03255732589423,2.6967654803962944,high_disagreement,True,False,True
Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1,CCO[Si](CCCN(CCC(=O)OCCO)CCC(=O)OCCO)(OCC)OCC,aromatic;epoxy;ether,ester;ether;hydroxyl,环氧-羟基醚化，常需催化剂。,0.95,0.05,185.8256530070777,9.174346992922295,False,Cc1cc(OCC2CO2)c(C(C)(C)C)cc1-c1cc(C)c(OCC2CO2)c(C(C)(C)C)c1|CCO[Si](CCCN(CCC(=O)OCCO)CCC(=O)OCCO)(OCC)OCC,0.95000:0.05000,2,185.90521732521051,125.46523362349426,50.13541694522238,255.84958,219.33808855046752,221.63472194301252,228.77383361641688,193.6061428729586,67.3323838888584,50.13541694522238,255.84957885742188,205.7141619121995,6,185.8256530070777,7.780489865880895,125.46523362349426,1.3938571270414002,high_disagreement,True,False,True
