target_tg_c,latent_input_proposals,latent_harness_pass,latent_best_distance_c,latent_within_1c,latent_within_5c,latent_observations,latent_literature_template_scored,latent_literature_template_harness_pass,latent_mean_distance,latent_mean_tanimoto,pievo_output_dir,pievo_rounds,pievo_history_rows,pievo_external_rows,pievo_external_mean_reward,pievo_posterior_entropy,pievo_map_principle,pievo_map_principle_posterior,pievo_all_selected_within_guard,pievo_all_selected_pass,best_selected_predicted_tg_mean_c,best_selected_target_distance_c,best_selected_reward
190.0,200,38,0.166559,11,38,38,39,4,0.062434,0.244208,artifacts/pievo_faithful_vae_latent_local_search_target_sweep/target_190,4,42,38,0.6557852829829415,3.289598945005688,maleimide_rigid_network,0.10468356733896238,True,True,189.99761785234935,0.0023821476506213,0.9995236839444028
195.0,200,42,0.20046,10,42,42,39,7,0.062434,0.244208,artifacts/pievo_faithful_vae_latent_local_search_target_sweep/target_195,4,46,42,0.6221896405207274,3.353028625740692,reaction_839cd29ef5d7,0.07407165937712616,True,True,195.0590323055354,0.0590323055353962,0.9882629616738088
200.0,200,41,0.305115,10,41,41,39,10,0.062434,0.244208,artifacts/pievo_faithful_vae_latent_local_search_target_sweep/target_200,4,45,41,0.6184954201442762,3.200494343516002,sulfone_diamine_rigidity,0.07782401923754066,True,True,199.9573390489755,0.0426609510244873,0.9915041056289414
250.0,200,5,1.084208,0,5,5,39,1,0.062434,0.244208,artifacts/pievo_faithful_vae_latent_local_search_target_sweep/target_250,4,9,5,0.5829396795619448,3.522592789411457,reaction_a5dd26ae10ad,0.03733293925768099,True,True,249.4886175991716,0.5113824008284382,0.9027799164199982
