smiles,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63
O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.0011342345,0.0037465664,-0.00045484118,0.0019377065,-0.00048403256,0.00026228745,-0.0024581244,-0.0021012195,-0.004665424,-0.001192119,-0.0024586543,0.0007707712,0.0029877648,-8.1855804e-05,-0.0007568747,0.0025206208,0.0033727689,0.0012909137,-0.0010080822,0.0012337002,-0.0003617797,0.00092518516,-0.0006208492,0.0063551245,0.0013344921,-0.00091130845,0.00014741009,0.0032628826,-8.859858e-05,0.00014434941,0.00013168575,0.0021796227,-0.0015417356,-7.2349794e-06,-0.00097488216,0.0038134847,-0.0014440808,0.0018688617,-0.0036170455,-0.0009325659,-0.0011348529,-0.0011379961,-0.0025271242,-0.0022671707,-0.0004901006,0.0028045494,3.9290637e-05,0.0006207153,-0.0006832485,0.011554369,0.00045257295,0.0068114144,0.0010013136,-0.0014770292,0.0011662571,0.0012095002,0.002137933,3.3960678e-05,-0.0010529198,-0.00014608167,4.3023378e-05,8.478295e-05,0.0031213835,-0.008578099
Nc1ccccc1,0.00089223403,0.0066464413,-0.00089206547,0.00093739526,0.00269855,0.0010627564,-0.0040118676,-0.000681347,-0.00272349,-0.0031627389,-0.004183258,0.00080095057,0.0057029724,-0.0025698002,-0.0016617123,-0.0009100344,0.00281497,0.005461909,0.00063490495,0.002230594,0.0054844916,0.0021830834,0.0013269957,0.0053493343,0.0014287755,-0.0021148203,0.00038215378,0.0044603017,-0.002613796,0.0009690877,0.0018341711,0.0015564775,0.0007256111,-0.0005135704,0.002322013,0.0046990123,0.0001626201,0.0027150344,-0.00411669,-0.0025652563,0.00023205671,0.00010637124,-0.002530774,-0.0020706132,-0.0040084682,0.0038249018,0.00013276841,0.0011442676,-0.002684514,0.011642398,0.004074542,0.0050086067,-0.0022169505,-0.00017106626,-0.0005400423,0.0046469043,0.0037907008,-0.0009912355,-0.0023700465,-0.0011473773,0.0018103966,-0.0039574606,0.003871168,-0.007991078
Nc1ccc(N)cc1,5.1860698e-05,0.0062796474,-0.00091820303,0.0013163979,0.0027266685,0.0012112532,-0.003927105,-0.0009874804,-0.0030033095,-0.0027524047,-0.0047802497,0.0011738592,0.0056794398,-0.0020927452,-0.0020261053,-0.0011441037,0.0028323568,0.005742388,0.00084468257,0.0022356026,0.0051398063,0.0018868297,0.0010011906,0.0050582234,0.001478754,-0.0021267226,-6.148941e-06,0.0037646173,-0.0024267808,0.00076543074,0.0014532637,0.0015961942,0.00060364883,-0.00055508874,0.0026425456,0.0044028424,8.03303e-05,0.0025073402,-0.0043201055,-0.0029881084,0.0010945024,0.00011645141,-0.002594079,-0.0024399068,-0.004135194,0.003962972,0.00016397703,0.0014509931,-0.0028053513,0.011342899,0.0042710314,0.00536604,-0.0023037428,0.00010586064,-0.0004440397,0.0045917598,0.0039335247,-0.0017484128,-0.0024071243,-0.0006991336,0.0014474615,-0.003217549,0.0033170348,-0.008182996
Nc1cc(N)cc(N)c1,5.5498444e-05,0.0059738923,-0.001240084,0.0015643011,0.003099203,0.0012666918,-0.0042551393,-0.0014768428,-0.0029941387,-0.0025452087,-0.0043760464,0.0008131837,0.006104097,-0.0024711452,-0.0017743912,-0.0008470006,0.0028244834,0.0053209253,0.00016364362,0.0020257207,0.0046793707,0.0017977413,0.00094531453,0.0049656164,0.0015837345,-0.0020949556,3.929052e-05,0.003795968,-0.00228755,0.00079811364,0.0015707738,0.0016588811,0.0004247171,-0.00034356443,0.0026771943,0.004593963,0.00014408119,0.0025492162,-0.0037400955,-0.0029014954,0.00094346236,-0.00013250276,-0.0026744856,-0.002058426,-0.0040489086,0.003581022,5.1282346e-05,0.0009271167,-0.003146149,0.011706703,0.0040319283,0.0058766524,-0.0023960695,0.00013889093,-0.0003970228,0.0040122806,0.0040429793,-0.0018687369,-0.0019772053,-0.00054669287,0.0009605768,-0.003135981,0.0033381227,-0.007477549
Nc1ccc(-c2ccc(N)c(N)c2)c(N)c1,-0.0016112151,0.0037564235,-0.0018053381,0.0023873928,0.0029178485,0.0017778643,-0.0044786828,-0.0017388652,-0.0034889122,-0.0025354223,-0.0042590937,0.00014345565,0.0046632793,-0.0024961755,-0.0024629664,0.00041683763,0.002204949,0.004869316,-0.00020749308,0.0025253631,0.0033127936,0.00012645684,0.00029829354,0.003831789,0.001862932,-0.0016913512,-0.0012516888,0.0043706098,-0.0018880963,0.00043472182,0.0009878809,0.0032601245,-0.0004073782,-0.00029791798,0.0012679464,0.003989028,-0.000531815,0.0023410926,-0.004331357,-0.0026007378,0.0009596506,3.5137404e-05,-0.0023245057,-0.0027964301,-0.002587581,0.0042979578,4.6922825e-05,0.0010187142,-0.0018959062,0.011496563,0.0024592066,0.0060130977,-0.0019420069,0.000155936,0.00026913732,0.0048766243,0.003490353,-0.0019010874,-0.0012793373,-0.0006491849,0.0024361406,-0.0037047928,0.0038236398,-0.008361544
N#CC(CC=CCC1CO1)CCC=CCC1CO1,0.0019646054,0.0057004336,-0.0031223753,0.0014931508,0.0037368815,0.0017013843,-0.0036313366,-0.0020246878,-0.001001481,-0.0013329256,-0.0017645992,-0.0016938366,0.0037279818,-0.0033642985,6.320886e-05,-0.00023084879,0.0019198712,0.005640872,0.0006947061,0.002179205,0.004506359,0.0022106655,0.00095574255,0.005623279,0.00081785955,-0.002360016,0.0015910757,0.0021869661,-0.0029887315,0.00094231963,0.0023616848,0.0032190196,0.0012098923,-0.0009906949,-0.0005826119,0.0035958588,0.0006428361,0.003522858,-0.0043949643,0.00080988556,-0.0018882751,0.00025218306,-0.002174479,-0.0007723067,-0.0030158286,0.0040233647,0.00024254713,0.0002837628,-0.0020904997,0.011753023,0.0034606205,0.0038431627,-0.00010059285,-0.00034093484,-0.0008263658,0.0041700886,0.0020969063,-0.0007390743,0.0005194526,-0.0019012531,0.0033158362,-0.003060245,0.0036286684,-0.007111254
N#CNC(=N)N,0.0013472652,0.006632304,-0.0010179747,0.00085800514,0.0024552308,0.0011121552,-0.004467814,-0.0008055565,-0.0019626115,-0.0021815468,-0.00370041,0.001114135,0.0060530286,-0.0027242955,-0.0012310501,-0.0006955657,0.0026828842,0.004948765,-0.0009955028,0.0019210489,0.005118031,0.0019668676,0.0011447787,0.0066697113,0.0020526815,-0.0020640455,0.0009527053,0.0035485323,-0.0026012622,0.0010577422,0.0021824248,0.0007241508,0.0009070374,-0.0006516692,0.0022500115,0.0042305198,0.0014990214,0.0026634624,-0.0032341676,-0.0023866715,-0.00042778347,-0.00018891622,-0.0025197305,-0.0012167264,-0.0038815388,0.0037487913,-3.910903e-05,0.0017103162,-0.002747138,0.012682143,0.0043446748,0.005438749,-0.001622492,-0.00026319828,-0.0006017601,0.0027627558,0.0035010464,-0.0012282282,-0.0018773675,-0.0014563752,0.0012734192,-0.0040889923,0.004103789,-0.0077186693
Nc1ccc(C(F)(F)F)c(-c2ccc(N)cc2C(F)(F)F)c1,0.00019728299,0.0044590533,-0.002155493,0.0006412063,0.00081028417,0.00018579268,-0.0041416446,-0.0019143311,-0.0040637637,-0.003013826,-0.0027324744,-0.0010522425,0.0041202568,-0.0020200815,-0.002875561,0.0014788434,0.0032041417,0.0036056396,0.00032027904,0.00074743386,0.0012806309,-0.00016571581,-0.0008857942,0.0033400897,0.0016058106,-0.001147809,-0.0010667881,0.0040969555,-0.0025830176,0.0006935131,0.001530475,0.0031192368,0.00082069915,0.000105397776,0.00046018173,0.0038446318,-0.00033160485,0.002046246,-0.004102283,-0.0013058418,-0.0012945281,0.00043977005,-0.0018676501,-0.0019251183,-0.0011132143,0.0034873635,-0.00019780453,0.00019858405,-0.00060518086,0.011073763,0.0010247901,0.006273774,-0.00044371816,-0.0010219412,0.0021336153,0.0036589722,0.0029645115,-0.00084976386,-0.0005319435,-0.00080498215,0.0014670552,-0.0019413857,0.0038825981,-0.0076627713
Nc1ccc(-c2ccc(N)c(C(F)(F)F)c2)c(C(F)(F)F)c1,0.0006679436,0.0045205466,-0.0022402722,-0.00039245002,0.0011549275,0.0013356302,-0.004083055,-0.0020359298,-0.00437365,-0.002422262,-0.002959174,-0.0005461615,0.0037120134,-0.00076447055,-0.0030620787,0.0014346745,0.0029799202,0.0029418953,0.0007080231,0.000679418,0.0019145841,0.00077888183,0.0005375466,0.0036636312,0.0016519781,2.9864721e-05,-0.00071137585,0.004897737,-0.0027774274,0.001114456,0.0016735317,0.0019209264,0.0004617707,0.0005556941,0.0004382613,0.0046498124,-0.0017956253,0.0030537182,-0.004334567,-0.0013420163,-0.0006169118,-0.00011185068,-0.0015555993,-0.0021623746,-0.0016493548,0.0038622962,-0.00018647127,-0.0008332096,-0.0006766869,0.011302177,0.0018004924,0.005625782,-0.00065770047,-0.00090427324,0.0020414405,0.0039396225,0.0030031372,-0.001465993,-0.00016767159,-0.00061404053,0.00068440987,-0.0022444623,0.0042462964,-0.008168845
Nc1ccc(-c2nc3ccc(N)cc3[nH]2)cc1,-0.0018623387,0.003991588,-0.001803048,0.001744417,0.0014920793,0.0018239766,-0.004256326,-0.0022725062,-0.0037565408,-0.0034482423,-0.0049718246,0.00024845832,0.0040861815,-0.0027749129,-0.0031131823,0.0008642562,0.0025635818,0.0050870907,8.412078e-05,0.0019879872,0.0026228307,-0.00024709105,0.00034182263,0.0022948757,0.001252709,-0.001505781,-0.002026074,0.0053558974,-0.0025791768,0.0007047616,0.00082248636,0.0043213777,0.0004504444,0.0005651112,0.00064189103,0.004031284,-0.00022313185,0.0021865107,-0.00455675,-0.0024532033,0.0012811776,-0.00023029651,-0.0016781026,-0.0023822933,-0.0025556227,0.0039293487,-0.00093776826,0.0015430897,-0.0013033063,0.011322116,0.0019317949,0.006371314,-0.0016431506,0.00031411275,6.1653554e-05,0.0048708445,0.0029597338,-0.0014752392,-0.0019805618,-0.00067179184,0.002104402,-0.0029397346,0.0023867264,-0.008697893
