smiles,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31
Oc1ccc(Oc2ccc(O)cc2)cc1,8.067116e-05,0.00059528183,8.562021e-05,-0.0001442898,-0.0005905777,-0.0003712047,0.00013253186,0.00012082048,0.00019027363,0.0005195774,-0.00095842034,0.00011044182,-0.00036330568,-0.00010494655,0.00071936566,0.00024599256,0.00050971704,0.0006605934,-8.312822e-05,0.00013486343,-3.0976604e-05,-0.00053540606,-0.00057750894,0.00011785794,-0.00032515405,0.0001553027,6.777141e-05,0.00016706297,8.486421e-05,-0.0005523185,0.00021542795,-5.9050508e-05
C=O,0.00034743687,0.00085639395,0.00024782214,-2.8414652e-05,-0.0006628027,-0.00044531934,8.774921e-05,5.188305e-05,0.000372716,0.00075515267,-0.0011103638,0.00031456538,-0.00014481787,-1.8508174e-05,0.00088880956,-9.689014e-06,6.820727e-05,0.00039975625,-0.00019424432,0.00029521016,-0.0002587079,-0.0004903079,-0.00059890514,0.00011277851,-0.00033444818,-1.1394732e-05,-0.00027513783,0.000290778,0.00045935507,-0.00022755377,0.00030175596,-0.00020397548
OB(O)O,0.00021888921,0.00086064264,0.00022615492,3.0116644e-05,-0.0007424429,-0.00047450047,7.3702075e-05,7.278286e-05,0.00036261207,0.0006231698,-0.0011139596,0.00032675918,-0.00014755502,-8.605933e-05,0.0009121364,-3.7760008e-05,8.314382e-05,0.00044099218,-0.0001845893,0.00028450182,-0.0002365245,-0.00053989876,-0.0005812547,9.9764206e-05,-0.00034620706,-5.767774e-05,-0.00024005491,0.00028665597,0.0003655532,-0.00027877092,0.00023920648,-0.00020970823
O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,-0.00023710448,7.573888e-05,-8.472148e-05,-0.00017537083,2.8246082e-05,-0.00021946244,-7.356703e-05,0.00019424222,-0.00022331858,-7.85836e-05,0.00021075085,0.00012805406,0.00023972616,-3.602216e-05,0.00028185826,0.0001688567,-8.849753e-05,0.00010698289,3.4686876e-05,-2.6683323e-05,-0.0001332959,-0.00021146878,2.5926623e-05,0.00024910085,5.6677032e-05,-0.000101544894,0.000270091,-0.00014472706,-0.00025272812,-2.4713576e-05,-0.00015440024,-0.00030677766
Nc1ccccc1,0.00022200868,0.00082650594,0.00021783262,-7.554097e-05,-0.0006599063,-0.0003500795,0.000103431754,7.75205e-05,0.00029797642,0.0006164075,-0.0010279408,0.00018708128,-0.00032641273,-5.111331e-05,0.0008632168,0.0001863637,0.0002529407,0.00045908173,-0.00015550735,0.00023031095,-0.00018450688,-0.0005682508,-0.000567921,0.00010765158,-0.00037544547,5.1480718e-05,-0.00017295498,0.0002739965,0.00034730067,-0.0003394666,0.00024430454,-0.0001342427
Nc1ccc(N)cc1,0.00019465806,0.00072476827,0.00017080456,-7.948978e-05,-0.0006453977,-0.00041155238,0.00012690667,0.00011633709,0.0002629317,0.00056538545,-0.0010289848,0.0001736572,-0.00036475435,-4.240265e-05,0.00083138235,0.00024969643,0.00031399122,0.0005429401,-3.329036e-05,0.00023321109,-0.00013007759,-0.0005413069,-0.00054783607,0.00014514569,-0.00031376118,-1.7547049e-05,-8.948706e-05,0.00018209126,0.00030901213,-0.00037479913,0.00018135831,-7.756427e-05
Nc1cc(N)cc(N)c1,0.00012287451,0.00066339225,9.015389e-05,-0.00010973215,-0.00062005594,-0.00043000001,0.00014312193,0.00014697295,0.00023396849,0.0005578371,-0.0010166178,0.00015334878,-0.0003421069,-0.00012697512,0.0007591862,0.0002707499,0.00036291406,0.0006097758,6.895675e-05,0.00024169916,-0.000117901014,-0.0005720322,-0.000585651,9.9932775e-05,-0.0003253878,8.802861e-06,-4.544668e-05,0.00013153069,0.00017872849,-0.0004192111,0.00025571976,5.7277735e-05
Nc1ccc(-c2ccc(N)c(N)c2)c(N)c1,0.00021538604,0.0006214017,4.1425228e-05,-0.00015446264,-0.0004515946,-0.00018058531,0.00023384765,0.00019641407,8.184626e-05,0.0005622958,-0.00082807895,0.00016896892,-0.00031832606,-8.529704e-05,0.0006246455,0.00023540528,0.00045196153,0.00064491713,-8.156034e-05,2.8059352e-05,4.585297e-05,-0.0004604,-0.0005601682,7.3842704e-05,-0.00032329932,0.00018247683,8.975994e-05,0.0001412984,-1.8833438e-05,-0.00051917834,0.0001764046,-7.7878125e-05
N#CC(CC=CCC1CO1)CCC=CCC1CO1,0.00020087976,0.0006288877,0.00013747253,-1.8243678e-05,-0.0006257091,-0.0003247289,0.00011557154,-7.513538e-05,0.00020870077,0.0005368204,-0.00073751435,0.00024346914,-0.00020730402,-0.00012390455,0.00067912415,-1.6852748e-05,0.00029098662,0.00026622065,-0.00013009994,0.00010316959,-0.00016859674,-0.00051414955,-0.00047306763,3.8376078e-05,-0.00032022083,1.2659468e-05,8.480437e-05,0.00016571628,0.00012629223,-0.00024206331,0.00033140276,-5.6117773e-05
N#CNC(=N)N,0.00019762991,0.00071445294,0.00025858264,-2.4882145e-05,-0.00066795107,-0.00047594775,0.000114179216,0.00014852267,0.00022620871,0.00057953456,-0.0009961426,0.00019249693,-0.00018674182,-9.284541e-05,0.0006979229,0.00017710729,0.00015286915,0.00072736037,-9.1453316e-05,0.00025624176,-0.00018275343,-0.00052821066,-0.00058072386,0.00019971188,-0.00032754336,6.447546e-06,-0.00013509486,0.0001573055,0.00032393658,-0.00035696616,0.00023541506,-0.00013129553
