ML method,PCP training dataset (%),PCP test dataset (%),MAPE training dataset (%),MAPE test dataset (%),R2 training,R2 test
VAE (16) + SVR,12.894736842105264,10.294117647058822,235.87399572586642,1170.2194894331658,-1.1776033242166362,-0.6441314379759528
VAE (16) + RF,80.52631578947368,57.35294117647059,17.229019924895677,251.8951334089044,0.9745815235828484,0.7398675245553048
VAE (16) + CNN,19.210526315789473,19.11764705882353,68.94320678710938,339.9060363769531,-0.5173947811126709,-0.5164082050323486
VAE (64) + SVR,12.894736842105264,10.294117647058822,235.87399572586642,1170.2194894331658,-1.1776033242166362,-0.6441314379759528
VAE (64) + RF,80.0,60.29411764705882,17.388166863276645,97.91261294103344,0.9690660888224034,0.8666328517311205
VAE (64) + CNN,0.0,0.0,217.4242706298828,562.3934326171875,-5.781994819641113,-4.576681137084961
