MAPEK training dataset (%),MAPEK test dataset (%),MAE training dataset (C),MAE test dataset (C),RMSE training dataset (C),RMSE test dataset (C),PCP training dataset (%),PCP test dataset (%),R2 training,R2 test,ML method,model_family,architecture,hidden,epochs,batch_size,test_size,seed,n_graphs,n_train,n_test,final_train_loss,output_dir
10.257865559581662,11.05121893789222,41.26070123722679,47.19222216308117,54.6734684146701,63.44705113739733,24.736842105263158,26.47058823529412,0.54557702970836,0.5650953238560916,SmallMoleculeGraphMPNN,gnn,mpnn,64,5,32,0.15,42,448,380,68,3193.8504028320312,artifacts/trail/gnn_architecture_smoke/mpnn
13.766677980356956,15.220211154825385,51.57907312041835,60.43924613822909,62.83833726902575,71.86173953261358,20.526315789473685,19.11764705882353,0.3997165164370041,0.44208678944793145,SmallMoleculeGraphGIN,gnn,gin,64,5,32,0.15,42,448,380,68,4536.531026204427,artifacts/trail/gnn_architecture_smoke/gin
26.03887413687509,27.0801266363429,112.37369734613519,122.57367684122394,137.67142715124754,155.048603498873,0.0,0.0,-1.8813409622185033,-1.597209072512483,SmallMoleculeGraphGCN,gnn,gcn,64,5,32,0.15,42,448,380,68,19578.381673177082,artifacts/trail/gnn_architecture_smoke/gcn
26.611777768369755,27.665801399422683,114.60118769156306,124.89558995033012,139.64856332954383,157.08569734355345,0.0,0.0,-1.9646946433130412,-1.6659038508221649,SmallMoleculeGraphGAT,gnn,gat,64,5,32,0.15,42,448,380,68,19967.786539713543,artifacts/trail/gnn_architecture_smoke/gat
